Pressione, Can A, Raccolta #4
Tempo ( s )	Pressione ( kPa )
40,9000	1,03519
41,0000	1,03030
41,1000	1,03519
41,2000	1,03030
41,3000	1,03519
41,4000	1,04007
41,5000	1,03519
41,6000	1,03519
41,7000	1,03519
41,8000	1,04007
41,9000	1,03519
42,0000	1,04007
42,1000	1,03519
42,2000	1,03030
42,3000	1,03519
42,4000	1,03519
42,5000	1,03519
42,6000	1,03030
42,7000	1,03519
42,8000	1,03030
42,9000	1,03519
43,0000	1,03030
43,1000	1,02054
43,2000	1,03030
43,3000	1,02542
43,4000	1,02542
43,5000	1,02542
43,6000	1,02542
43,7000	1,02542
43,8000	1,04495
43,9000	0,33692
44,0000	0,00977
44,1000	-0,01465
44,2000	0,00488
44,3000	-0,01953
44,4000	-0,00977
44,5000	-0,00977
44,6000	0,00000
44,7000	0,00000
44,8000	0,00488
44,9000	0,00000
45,0000	0,00000
45,1000	0,00000
45,2000	0,00000
45,3000	-0,01465
45,4000	0,00000
45,5000	0,00000
45,6000	0,00000
45,7000	0,00000
45,8000	0,00000
45,9000	-0,01953
46,0000	-0,02930
46,1000	-0,04395
46,2000	-0,03906
46,3000	-0,04395
46,4000	-0,03906
46,5000	-0,04883
46,6000	-0,03906
46,7000	-0,04883
46,8000	-0,03906
46,9000	-0,04883
47,0000	-0,04883
47,1000	-0,05860
47,2000	-0,05371
47,3000	-0,05860
47,4000	-0,05371
47,5000	-0,05371
47,6000	-0,05860
47,7000	-0,05860
47,8000	-0,04883
47,9000	-0,05860
48,0000	-0,05860
48,1000	-0,05860
48,2000	-0,05371
48,3000	-0,05860
48,4000	-0,05371
48,5000	-0,05860
48,6000	-0,05371
48,7000	-0,05860
48,8000	-0,05371
48,9000	-0,05860
49,0000	-0,05371
49,1000	-0,05860
49,2000	-0,05371
49,3000	-0,05860
49,4000	-0,05371
49,5000	-0,05860
49,6000	-0,05371
49,7000	-0,05371
49,8000	-0,04883
49,9000	-0,05860
50,0000	-0,05371
50,1000	-0,05860
50,2000	-0,05371
50,3000	-0,05860
50,4000	-0,05371
50,5000	-0,05860
50,6000	-0,05860
50,7000	-0,05860
50,8000	-0,05371
50,9000	-0,05860
51,0000	-0,05371
51,1000	-0,05860
51,2000	-0,05371
51,3000	-0,05860
51,4000	-0,04883
51,5000	-0,05860
51,6000	-0,04883
51,7000	-0,05860
51,8000	-0,05371
51,9000	-0,05860
52,0000	-0,05860
52,1000	-0,05860
52,2000	-0,05371
52,3000	-0,05860
52,4000	-0,04883
52,5000	-0,05860
52,6000	-0,04883
52,7000	-0,05860
52,8000	-0,05371
52,9000	-0,05860
53,0000	-0,05371
53,1000	-0,05860
53,2000	-0,05371
53,3000	-0,05860
53,4000	-0,04883
53,5000	-0,05860
53,6000	-0,04883
53,7000	-0,05860
53,8000	-0,05371
53,9000	-0,05371
54,0000	-0,05371
54,1000	-0,05860
54,2000	-0,05371
54,3000	-0,05860
54,4000	-0,05371
54,5000	-0,05860
54,6000	-0,06348
54,7000	-0,05860
54,8000	-0,06348
54,9000	-0,05860
55,0000	-0,05860
55,1000	-0,05860
55,2000	-0,05371
55,3000	-0,05860
55,4000	-0,05371
55,5000	-0,05860
55,6000	-0,05371
55,7000	-0,05860
55,8000	-0,05371
55,9000	-0,05860
56,0000	-0,05371
56,1000	-0,05860
56,2000	-0,05860
56,3000	-0,05860
56,4000	-0,05371
56,5000	-0,05860
56,6000	-0,06348
56,7000	-0,05860
56,8000	-0,06348
56,9000	-0,05860
57,0000	-0,05371
57,1000	-0,05860
57,2000	-0,05860
57,3000	-0,05860
57,4000	-0,05371
57,5000	-0,05860
57,6000	-0,05371
57,7000	-0,05860
57,8000	-0,05371
57,9000	-0,05860
58,0000	-0,05371
58,1000	-0,05860
58,2000	-0,05371
58,3000	-0,05860
58,4000	-0,05371
58,5000	-0,05860
58,6000	-0,05371
58,7000	-0,05860
58,8000	-0,05371
58,9000	-0,05860
59,0000	-0,04883
