Pressione, Can A, Raccolta #3
Tempo ( s )	Pressione ( kPa )
31,1000	0,90823
31,2000	0,90823
31,3000	0,90823
31,4000	0,90823
31,5000	0,90823
31,6000	0,90823
31,7000	0,90823
31,8000	0,90823
31,9000	0,90823
32,0000	0,90335
32,1000	0,90335
32,2000	0,90823
32,3000	0,90335
32,4000	0,90823
32,5000	0,90823
32,6000	0,90823
32,7000	0,90823
32,8000	0,90823
32,9000	0,90335
33,0000	0,90823
33,1000	0,90823
33,2000	0,90823
33,3000	0,90823
33,4000	0,90335
33,5000	0,90335
33,6000	0,90335
33,7000	0,90823
33,8000	0,90335
33,9000	0,90823
34,0000	0,90335
34,1000	0,89846
34,2000	0,90335
34,3000	0,90823
34,4000	0,90335
34,5000	0,90823
34,6000	0,90823
34,7000	0,90823
34,8000	0,90335
34,9000	0,90335
35,0000	0,90335
35,1000	0,90335
35,2000	0,90335
35,3000	0,90823
35,4000	0,90335
35,5000	0,89846
35,6000	0,90335
35,7000	0,89846
35,8000	0,90335
35,9000	0,90335
36,0000	0,90335
36,1000	0,89846
36,2000	0,90335
36,3000	0,90335
36,4000	0,90335
36,5000	0,90335
36,6000	0,90335
36,7000	0,89846
36,8000	0,90335
36,9000	0,89846
37,0000	0,90335
37,1000	0,89846
37,2000	0,90335
37,3000	0,89846
37,4000	0,90335
37,5000	0,90335
37,6000	0,90335
37,7000	0,89846
37,8000	0,90335
37,9000	0,89846
38,0000	0,90335
38,1000	0,90335
38,2000	0,90335
38,3000	0,89846
38,4000	0,90335
38,5000	0,89846
38,6000	0,89846
38,7000	0,89846
38,8000	0,90335
38,9000	0,89846
39,0000	0,90335
39,1000	0,89846
39,2000	0,90335
39,3000	0,89846
39,4000	0,90335
39,5000	0,89846
39,6000	0,90335
39,7000	0,89846
39,8000	0,90335
39,9000	0,89846
40,0000	0,89846
40,1000	0,89846
40,2000	0,90335
40,3000	0,90335
40,4000	0,90335
40,5000	0,89846
40,6000	0,89846
40,7000	0,89846
40,8000	0,90335
40,9000	0,89846
41,0000	0,89846
41,1000	0,89846
41,2000	0,89846
41,3000	0,89846
41,4000	0,90335
41,5000	0,89846
41,6000	0,90335
41,7000	0,89846
41,8000	0,89846
41,9000	0,89846
42,0000	0,90335
42,1000	0,89846
42,2000	0,89846
42,3000	0,89846
42,4000	0,90335
42,5000	0,89846
42,6000	0,90335
42,7000	0,89846
42,8000	0,90335
42,9000	0,89846
43,0000	0,90335
43,1000	0,89846
43,2000	0,89846
43,3000	0,89846
43,4000	0,89846
43,5000	0,89846
43,6000	0,89846
43,7000	0,89846
43,8000	0,89846
43,9000	0,89846
44,0000	0,89846
44,1000	0,88870
44,2000	0,89846
44,3000	0,89358
44,4000	0,89846
44,5000	0,89358
44,6000	0,89846
44,7000	0,88870
44,8000	0,88870
44,9000	0,89358
45,0000	0,89358
45,1000	0,88870
45,2000	0,88870
45,3000	0,88870
45,4000	0,89358
45,5000	0,88870
45,6000	0,89358
45,7000	0,88870
45,8000	0,89846
45,9000	0,88870
46,0000	0,88870
46,1000	0,88870
46,2000	0,89358
46,3000	0,88870
46,4000	0,88870
46,5000	0,88870
46,6000	0,88870
46,7000	0,88870
46,8000	0,88870
46,9000	0,88870
47,0000	0,88870
47,1000	0,88870
47,2000	0,89358
47,3000	0,88870
47,4000	0,89846
47,5000	0,88870
47,6000	0,89358
47,7000	0,89846
47,8000	0,89358
47,9000	0,89358
48,0000	0,89846
48,1000	0,89846
48,2000	0,89846
48,3000	0,89358
48,4000	0,89358
48,5000	0,88870
48,6000	0,89846
48,7000	0,89358
48,8000	0,89846
48,9000	0,89358
49,0000	0,89846
49,1000	0,88870
49,2000	0,89846
49,3000	0,89846
49,4000	0,89846
49,5000	0,88870
49,6000	0,89358
49,7000	0,89846
49,8000	0,89846
49,9000	0,89846
50,0000	0,89846
50,1000	0,88870
50,2000	0,89358
50,3000	0,88870
50,4000	0,89846
50,5000	0,89358
50,6000	0,89358
50,7000	0,88870
50,8000	0,89846
50,9000	0,89846
51,0000	0,89846
51,1000	0,88870
51,2000	0,89358
51,3000	0,88870
51,4000	0,89358
51,5000	0,88870
51,6000	0,89846
51,7000	0,88870
51,8000	0,89358
51,9000	0,88870
52,0000	0,89846
52,1000	0,89846
52,2000	0,89358
52,3000	0,89358
52,4000	0,89846
52,5000	0,89846
52,6000	0,89846
52,7000	0,88870
52,8000	0,88870
52,9000	0,88870
53,0000	0,89846
53,1000	0,88870
53,2000	0,89846
53,3000	0,89846
53,4000	0,89846
53,5000	0,89846
53,6000	0,89846
53,7000	0,89846
53,8000	0,89846
53,9000	0,89846
54,0000	0,89846
54,1000	0,89358
54,2000	0,89846
54,3000	0,89846
54,4000	0,89846
54,5000	0,89846
54,6000	0,89358
54,7000	0,89358
54,8000	0,89358
54,9000	0,89846
55,0000	0,89846
55,1000	0,89846
55,2000	0,89846
55,3000	0,88870
55,4000	0,89846
55,5000	0,88870
55,6000	0,89846
55,7000	0,89846
55,8000	0,89846
55,9000	0,88870
56,0000	0,89358
56,1000	0,88870
56,2000	0,89846
56,3000	0,88870
56,4000	0,88870
56,5000	0,88870
56,6000	0,89846
56,7000	0,93753
56,8000	1,08890
56,9000	1,32817
57,0000	1,64068
57,1000	2,00201
57,2000	2,20710
57,3000	2,20222
57,4000	2,19733
57,5000	2,18757
57,6000	2,18757
57,7000	2,17780
57,8000	2,16803
57,9000	2,15827
58,0000	2,14850
58,1000	2,13874
58,2000	2,12409
58,3000	2,10944
58,4000	2,09967
58,5000	2,08991
58,6000	2,08502
58,7000	2,08014
58,8000	2,07526
58,9000	2,07038
59,0000	2,06061
59,1000	2,06061
59,2000	2,05573
59,3000	2,05084
59,4000	2,05084
59,5000	2,04108
59,6000	2,03619
59,7000	2,03619
59,8000	2,03131
59,9000	2,03131
60,0000	2,02155
60,1000	2,02155
60,2000	2,01666
60,3000	2,01178
60,4000	2,01178
60,5000	2,00201
60,6000	2,00201
60,7000	2,00201
60,8000	2,00201
60,9000	1,99225
61,0000	1,99225
61,1000	1,99225
61,2000	1,99225
61,3000	1,98248
61,4000	1,98737
61,5000	1,98248
61,6000	1,97760
61,7000	1,98248
61,8000	1,97760
61,9000	1,97272
62,0000	1,96783
62,1000	1,97272
62,2000	1,97272
62,3000	1,96783
62,4000	1,96295
62,5000	1,96295
62,6000	1,95807
62,7000	1,95807
62,8000	1,95807
62,9000	1,95318
63,0000	1,95807
63,1000	1,95318
63,2000	1,95318
