Pressione, Can A, Raccolta #10
Tempo ( s )	Pressione ( kPa )
0,0000	-0,01953
0,1000	-0,01953
0,2000	-0,01953
0,3000	-0,01953
0,4000	-0,01953
0,5000	-0,01953
0,6000	-0,01953
0,7000	-0,01953
0,8000	-0,01953
0,9000	-0,01953
1,0000	-0,01953
1,1000	-0,01953
1,2000	-0,01953
1,3000	-0,01953
1,4000	-0,01953
1,5000	-0,01953
1,6000	-0,01953
1,7000	-0,01953
1,8000	-0,01953
1,9000	-0,01953
2,0000	-0,01953
2,1000	-0,01953
2,2000	-0,01953
2,3000	-0,01953
2,4000	-0,01953
2,5000	-0,01953
2,6000	-0,01953
2,7000	-0,01953
2,8000	-0,01953
2,9000	-0,01953
3,0000	-0,01953
3,1000	-0,01953
3,2000	-0,01953
3,3000	0,00000
3,4000	0,83987
3,5000	1,76763
3,6000	1,74322
3,7000	1,71880
3,8000	1,69927
3,9000	1,66997
4,0000	1,66021
4,1000	1,64068
4,2000	1,62603
4,3000	1,62114
4,4000	1,60161
4,5000	1,59185
4,6000	1,58208
4,7000	1,57231
4,8000	1,56255
4,9000	1,56255
5,0000	1,54790
5,1000	1,54302
5,2000	1,53325
5,3000	1,52837
5,4000	1,52348
5,5000	1,51372
5,6000	1,51372
5,7000	1,50395
5,8000	1,50395
5,9000	1,50395
6,0000	1,49419
6,1000	1,48930
6,2000	1,48442
6,3000	1,48442
6,4000	1,48442
6,5000	1,48442
6,6000	1,46977
6,7000	1,46977
6,8000	1,46489
6,9000	1,46489
7,0000	1,46489
7,1000	1,46489
7,2000	1,46489
7,3000	1,45512
7,4000	1,45024
7,5000	1,44536
7,6000	1,44536
7,7000	1,44536
7,8000	1,44536
7,9000	1,44536
8,0000	1,43559
8,1000	1,43071
8,2000	1,43559
8,3000	1,43071
8,4000	1,42582
8,5000	1,42582
8,6000	1,42582
8,7000	1,42582
8,8000	1,42582
8,9000	1,42582
9,0000	1,42582
9,1000	1,42582
9,2000	1,41606
9,3000	1,41606
9,4000	1,41606
9,5000	1,41118
9,6000	1,40629
9,7000	1,40629
9,8000	1,40629
9,9000	1,40629
10,0000	1,40629
10,1000	1,40629
10,2000	1,40629
10,3000	1,40629
10,4000	1,40629
10,5000	1,40629
10,6000	1,40629
10,7000	1,39164
10,8000	1,39164
10,9000	1,39164
11,0000	1,39164
11,1000	1,38676
11,2000	1,38676
11,3000	1,38676
11,4000	1,38676
11,5000	1,38676
11,6000	1,38676
11,7000	1,38676
11,8000	1,38676
11,9000	1,38676
12,0000	1,38676
12,1000	1,38676
12,2000	1,38676
12,3000	1,37700
12,4000	1,37211
12,5000	1,37700
12,6000	1,37700
12,7000	1,37700
12,8000	1,37211
12,9000	1,37700
13,0000	1,37211
13,1000	1,37211
13,2000	1,37211
13,3000	1,36723
13,4000	1,36723
13,5000	1,36723
13,6000	1,36723
13,7000	1,36723
13,8000	1,36723
13,9000	1,36723
14,0000	1,36235
14,1000	1,36235
14,2000	1,36235
14,3000	1,36235
14,4000	1,35746
14,5000	1,35746
14,6000	1,35746
14,7000	1,35746
14,8000	1,35258
14,9000	1,35258
15,0000	1,34770
15,1000	1,34770
15,2000	1,34770
15,3000	1,34770
15,4000	1,34770
15,5000	1,34770
15,6000	1,34770
15,7000	1,34770
15,8000	1,33793
15,9000	1,33793
16,0000	1,33793
16,1000	1,33793
16,2000	1,34770
16,3000	1,33305
16,4000	1,32817
16,5000	1,32817
16,6000	1,32817
16,7000	1,32817
16,8000	1,32817
16,9000	1,32817
17,0000	1,32817
17,1000	1,32817
17,2000	1,32817
17,3000	1,32817
17,4000	1,32817
17,5000	1,32817
17,6000	1,32817
17,7000	1,32817
17,8000	1,32817
17,9000	1,32817
18,0000	1,32817
18,1000	1,32817
18,2000	1,32817
18,3000	1,32817
18,4000	1,32817
18,5000	1,32817
18,6000	1,32817
18,7000	1,32817
18,8000	1,32817
18,9000	1,32817
19,0000	1,32817
19,1000	1,32817
19,2000	1,32817
19,3000	1,32817
19,4000	1,31840
19,5000	1,32817
19,6000	1,32817
19,7000	1,31840
19,8000	1,32817
19,9000	1,32817
20,0000	1,32817
20,1000	1,31840
20,2000	1,32817
20,3000	1,31840
20,4000	1,31840
20,5000	1,31840
20,6000	1,31840
20,7000	1,31352
20,8000	1,31352
20,9000	1,31840
21,0000	1,31352
21,1000	1,31352
21,2000	1,31352
21,3000	1,31840
21,4000	1,31352
21,5000	1,31352
21,6000	1,31352
21,7000	1,31352
21,8000	1,31352
21,9000	1,31352
22,0000	1,31352
22,1000	1,30863
22,2000	1,30863
22,3000	1,31352
22,4000	1,31352
22,5000	1,30863
22,6000	1,30863
22,7000	1,30863
22,8000	1,30863
22,9000	1,30863
23,0000	1,30863
23,1000	1,30863
23,2000	1,30863
23,3000	1,30863
23,4000	1,30863
23,5000	1,30863
23,6000	1,30863
23,7000	1,30863
23,8000	1,30863
23,9000	1,30863
24,0000	1,30863
24,1000	1,30863
24,2000	1,30863
24,3000	1,30863
24,4000	1,30863
24,5000	1,30863
24,6000	1,30863
24,7000	1,30863
24,8000	1,30863
24,9000	1,30863
25,0000	1,30863
25,1000	1,30863
25,2000	1,30863
25,3000	1,30863
25,4000	1,30863
25,5000	1,30863
25,6000	1,30863
25,7000	1,30863
25,8000	1,30863
25,9000	1,30863
26,0000	1,30863
26,1000	1,30863
26,2000	1,30863
26,3000	1,30863
26,4000	1,30863
26,5000	1,30863
26,6000	1,30863
26,7000	1,30863
26,8000	1,30863
26,9000	1,30863
27,0000	1,30863
27,1000	1,30863
27,2000	1,30863
27,3000	1,30863
27,4000	1,30863
27,5000	1,30863
27,6000	1,29887
27,7000	1,29887
27,8000	1,30863
27,9000	1,29398
28,0000	1,29887
28,1000	1,29398
28,2000	1,29887
28,3000	1,29887
28,4000	1,29887
28,5000	1,30863
28,6000	1,29887
28,7000	1,30863
28,8000	1,29887
28,9000	1,29887
29,0000	1,29887
29,1000	1,29887
29,2000	1,29887
29,3000	1,29887
29,4000	1,29887
29,5000	1,29887
29,6000	1,29887
29,7000	1,29398
29,8000	1,29398
29,9000	1,29887
30,0000	1,29887
30,1000	1,29887
30,2000	1,29887
30,3000	1,29887
30,4000	1,29887
30,5000	1,29398
30,6000	1,29887
30,7000	1,29887
30,8000	1,29887
30,9000	1,29887
31,0000	1,29398
31,1000	1,29887
31,2000	1,29887
31,3000	1,29398
31,4000	1,30863
31,5000	1,29887
31,6000	1,29398
31,7000	1,29398
31,8000	1,29887
31,9000	1,29887
32,0000	1,29887
32,1000	1,30863
32,2000	1,29887
32,3000	1,29887
32,4000	1,29887
32,5000	1,29398
32,6000	1,29887
32,7000	1,29398
32,8000	1,29887
32,9000	1,29398
33,0000	1,29398
33,1000	1,29398
33,2000	1,29887
33,3000	1,29887
33,4000	1,29887
33,5000	1,29887
33,6000	1,29398
33,7000	1,29398
33,8000	1,29887
33,9000	1,29887
34,0000	1,29398
34,1000	1,29887
34,2000	1,29887
34,3000	1,29887
34,4000	1,29398
34,5000	1,29398
34,6000	1,29398
34,7000	1,29398
34,8000	1,29398
34,9000	1,29887
35,0000	1,29398
35,1000	1,29887
35,2000	1,29887
35,3000	1,29887
35,4000	1,29398
35,5000	1,29398
35,6000	1,29887
35,7000	1,29398
35,8000	1,29887
35,9000	1,28910
36,0000	1,29887
36,1000	1,29398
36,2000	1,29887
36,3000	1,29398
36,4000	1,29398
36,5000	1,29887
36,6000	1,29398
36,7000	1,29398
36,8000	1,29398
36,9000	1,29887
37,0000	1,28910
37,1000	1,29398
37,2000	1,29398
37,3000	1,29398
37,4000	1,29887
37,5000	1,29398
37,6000	1,29887
37,7000	1,29887
37,8000	1,29398
37,9000	1,29398
38,0000	1,29398
38,1000	1,29398
38,2000	1,29398
38,3000	1,29398
38,4000	1,29398
38,5000	1,29398
38,6000	1,29887
38,7000	1,29398
38,8000	1,29398
38,9000	1,29398
39,0000	1,29398
39,1000	1,29398
39,2000	1,29398
39,3000	1,29398
39,4000	1,29398
39,5000	1,29398
39,6000	1,29398
39,7000	1,29398
39,8000	1,29398
39,9000	1,29398
40,0000	1,28910
40,1000	1,29398
40,2000	1,29398
40,3000	1,29398
40,4000	1,29398
40,5000	1,29398
40,6000	1,29398
40,7000	1,29398
40,8000	1,29398
40,9000	1,29398
41,0000	1,29398
41,1000	1,29398
41,2000	1,29398
41,3000	1,29398
41,4000	1,29398
41,5000	1,29398
41,6000	1,29398
41,7000	1,29398
41,8000	1,29887
41,9000	1,29398
42,0000	1,29398
42,1000	1,29398
42,2000	1,29398
42,3000	1,29887
42,4000	1,29398
42,5000	1,28910
42,6000	1,29398
42,7000	1,28910
42,8000	1,28910
42,9000	1,28910
43,0000	1,28910
43,1000	1,28910
43,2000	1,29398
43,3000	1,28910
43,4000	1,27934
43,5000	1,27445
43,6000	1,27445
43,7000	1,27445
43,8000	1,27445
43,9000	1,27445
44,0000	1,27934
44,1000	1,28910
44,2000	1,28910
44,3000	1,28910
44,4000	1,28910
44,5000	1,28910
44,6000	1,28910
44,7000	1,28910
44,8000	1,28910
44,9000	1,28910
45,0000	1,28910
45,1000	1,28910
45,2000	1,28422
45,3000	1,28910
45,4000	1,28422
45,5000	1,28910
45,6000	1,28422
45,7000	1,28910
45,8000	1,28422
45,9000	1,28422
46,0000	1,28422
46,1000	1,28910
46,2000	1,28910
46,3000	1,28422
46,4000	1,28910
46,5000	1,28422
46,6000	1,28422
46,7000	1,28422
46,8000	1,28910
46,9000	1,28910
47,0000	1,28910
47,1000	1,28422
47,2000	1,28910
47,3000	1,28910
47,4000	1,28910
47,5000	1,28910
47,6000	1,28910
47,7000	1,28910
47,8000	1,28910
47,9000	1,28910
48,0000	1,28910
48,1000	1,28910
48,2000	1,28910
48,3000	1,28910
48,4000	1,28910
48,5000	1,28910
48,6000	1,28910
48,7000	1,28910
48,8000	1,28910
48,9000	1,28910
49,0000	1,28910
49,1000	1,28422
49,2000	1,28910
49,3000	1,28910
49,4000	1,28910
49,5000	1,28910
49,6000	1,28910
49,7000	1,28422
49,8000	1,28422
49,9000	1,28422
50,0000	1,28910
50,1000	1,28422
50,2000	1,28422
50,3000	1,28422
50,4000	1,28422
50,5000	1,28422
50,6000	1,28910
50,7000	1,28910
50,8000	1,28422
50,9000	1,28422
51,0000	1,28910
51,1000	1,28422
51,2000	1,28422
51,3000	1,28422
51,4000	1,28910
51,5000	1,28422
51,6000	1,28910
51,7000	1,28422
51,8000	1,28910
51,9000	1,28910
52,0000	1,28422
52,1000	1,28422
52,2000	1,28422
52,3000	1,28422
52,4000	1,28422
52,5000	1,28422
52,6000	1,28910
52,7000	1,28910
52,8000	1,28422
52,9000	1,28422
53,0000	1,28422
53,1000	1,28422
53,2000	1,28910
53,3000	1,28910
53,4000	1,28910
53,5000	1,28422
53,6000	1,28910
53,7000	1,28422
53,8000	1,28910
53,9000	1,28910
54,0000	1,28910
54,1000	1,28910
54,2000	1,28422
54,3000	1,28910
54,4000	1,28422
54,5000	1,28422
54,6000	1,28422
54,7000	1,28910
54,8000	1,28422
54,9000	1,28422
55,0000	1,28422
55,1000	1,28422
55,2000	1,28422
55,3000	1,28910
55,4000	1,28910
55,5000	1,28422
55,6000	1,28910
55,7000	1,28910
55,8000	1,28422
55,9000	1,28910
56,0000	1,28910
56,1000	1,28422
56,2000	1,27934
56,3000	1,27934
56,4000	1,27445
56,5000	1,26957
56,6000	1,25004
56,7000	1,25004
56,8000	1,25004
56,9000	1,25004
57,0000	1,25004
57,1000	1,25004
57,2000	1,25004
57,3000	1,25004
57,4000	1,25004
57,5000	1,25004
57,6000	1,25004
57,7000	1,25004
57,8000	1,25004
57,9000	1,25004
58,0000	1,25004
58,1000	1,25004
58,2000	1,25980
58,3000	1,26957
58,4000	1,25980
58,5000	1,26957
58,6000	1,26957
58,7000	1,26957
58,8000	1,25980
58,9000	1,26957
59,0000	1,26957
59,1000	1,26957
59,2000	1,26957
59,3000	1,27445
59,4000	1,26957
59,5000	1,26957
59,6000	1,27445
59,7000	1,26957
59,8000	1,26957
59,9000	1,27445
60,0000	1,26957
60,1000	1,26957
60,2000	1,27445
60,3000	1,26957
60,4000	1,26957
60,5000	1,27445
60,6000	1,27445
60,7000	1,27445
60,8000	1,26957
60,9000	1,26957
61,0000	1,27445
61,1000	1,27445
61,2000	1,26957
61,3000	1,27445
61,4000	1,27445
61,5000	1,27445
61,6000	1,26957
61,7000	1,26957
