Pressione, Can A, Raccolta #5
Tempo ( s )	Pressione ( kPa )
31,6000	3,25694
31,7000	3,25694
31,8000	3,25205
31,9000	3,25205
32,0000	3,25694
32,1000	3,25694
32,2000	3,25205
32,3000	3,25205
32,4000	3,25205
32,5000	3,25205
32,6000	3,25205
32,7000	3,25694
32,8000	3,25205
32,9000	3,25205
33,0000	3,25694
33,1000	3,25205
33,2000	3,25205
33,3000	3,25205
33,4000	3,25694
33,5000	3,25205
33,6000	3,25205
33,7000	3,25205
33,8000	3,25205
33,9000	3,25694
34,0000	3,25205
34,1000	3,25205
34,2000	3,25205
34,3000	3,25205
34,4000	3,25205
34,5000	3,25205
34,6000	3,25205
34,7000	3,25205
34,8000	3,25205
34,9000	3,25205
35,0000	3,25205
35,1000	3,25694
35,2000	3,25694
35,3000	3,25694
35,4000	3,25205
35,5000	3,25205
35,6000	3,25205
35,7000	3,25205
35,8000	3,25205
35,9000	3,25205
36,0000	3,25205
36,1000	3,25205
36,2000	3,25205
36,3000	3,25205
36,4000	3,25205
36,5000	3,25205
36,6000	3,25205
36,7000	3,24717
36,8000	3,25205
36,9000	3,24717
37,0000	3,25205
37,1000	3,25205
37,2000	3,25205
37,3000	3,25205
37,4000	3,25205
37,5000	3,24717
37,6000	3,25205
37,7000	3,25205
37,8000	3,24717
37,9000	3,25205
38,0000	3,25205
38,1000	3,24717
38,2000	3,25205
38,3000	3,25205
38,4000	3,25205
38,5000	3,25205
38,6000	3,25205
38,7000	3,25205
38,8000	3,24717
38,9000	3,25205
39,0000	3,25205
39,1000	3,25205
39,2000	3,25205
39,3000	3,24717
39,4000	3,25205
39,5000	3,24717
39,6000	3,25205
39,7000	3,25205
39,8000	3,24717
39,9000	3,25205
40,0000	3,25205
40,1000	3,24717
40,2000	3,25205
40,3000	3,25205
40,4000	3,24717
40,5000	3,24717
40,6000	3,24717
40,7000	3,24717
40,8000	3,25205
40,9000	3,25205
41,0000	3,24717
41,1000	3,25205
41,2000	3,24717
41,3000	3,25205
41,4000	3,24717
41,5000	3,25205
41,6000	3,24717
41,7000	3,24717
41,8000	3,24717
41,9000	3,24717
42,0000	3,24717
42,1000	3,24717
42,2000	3,24717
42,3000	3,24717
42,4000	3,24717
42,5000	3,24717
42,6000	3,24229
42,7000	3,24717
42,8000	3,24229
42,9000	3,24717
43,0000	3,24717
43,1000	3,24717
43,2000	3,24717
43,3000	3,24717
43,4000	3,24717
43,5000	3,24717
43,6000	3,24717
43,7000	3,24717
43,8000	3,24717
43,9000	3,24717
44,0000	3,24229
44,1000	3,24717
44,2000	3,24229
44,3000	3,24717
44,4000	3,24717
44,5000	3,24717
44,6000	3,24717
44,7000	3,24717
44,8000	3,24717
44,9000	3,24717
45,0000	3,24717
45,1000	3,24717
45,2000	3,25205
45,3000	3,25205
45,4000	3,24717
45,5000	3,24717
45,6000	3,24717
45,7000	3,24717
45,8000	3,24717
45,9000	3,25205
46,0000	3,24717
46,1000	3,25205
46,2000	3,24717
46,3000	3,24717
46,4000	3,25205
46,5000	3,24717
46,6000	3,24717
46,7000	3,24717
46,8000	3,24717
46,9000	3,24717
47,0000	3,24717
47,1000	3,24717
47,2000	3,25205
47,3000	3,24717
47,4000	3,24229
47,5000	3,24717
47,6000	3,24717
47,7000	3,24717
47,8000	3,24717
47,9000	3,24717
48,0000	3,24717
48,1000	3,24717
48,2000	3,24717
48,3000	3,24717
48,4000	3,24717
48,5000	3,24717
48,6000	3,24717
48,7000	3,24717
48,8000	3,24717
48,9000	3,24717
49,0000	3,25205
49,1000	3,24717
49,2000	3,24717
49,3000	3,24717
49,4000	3,24717
49,5000	3,24717
49,6000	3,24717
49,7000	3,25205
49,8000	3,24229
49,9000	3,24717
50,0000	3,24717
50,1000	3,24717
50,2000	3,24717
50,3000	3,24717
50,4000	3,24229
50,5000	3,24717
50,6000	3,24229
50,7000	3,24717
50,8000	3,24717
50,9000	3,24229
51,0000	3,24717
51,1000	3,24717
51,2000	3,24717
51,3000	3,24717
51,4000	3,24717
51,5000	3,24717
51,6000	3,24717
51,7000	3,24717
51,8000	3,25205
51,9000	3,25205
52,0000	3,24717
52,1000	3,24717
52,2000	3,24717
52,3000	3,24717
52,4000	3,24717
52,5000	3,24717
52,6000	3,24229
52,7000	3,24229
52,8000	3,24717
52,9000	3,24717
53,0000	3,25205
53,1000	3,24229
53,2000	3,24717
53,3000	3,24717
53,4000	3,24717
53,5000	3,24229
53,6000	3,24717
53,7000	3,24717
53,8000	3,24717
53,9000	3,24717
54,0000	3,24717
54,1000	3,24717
54,2000	3,24717
54,3000	3,24717
54,4000	3,24717
54,5000	3,24717
54,6000	3,24717
54,7000	3,24717
54,8000	3,24717
54,9000	3,24717
55,0000	3,24717
55,1000	3,24717
55,2000	3,24717
55,3000	3,25205
55,4000	3,24717
55,5000	3,24717
55,6000	3,25205
55,7000	3,24717
55,8000	3,24717
55,9000	3,24717
56,0000	3,24717
56,1000	3,24717
56,2000	3,24229
56,3000	3,24717
56,4000	3,24717
56,5000	3,24717
56,6000	3,24717
56,7000	3,24717
56,8000	3,25205
56,9000	3,25205
57,0000	3,24717
57,1000	3,24717
57,2000	3,24717
57,3000	3,24717
57,4000	3,24717
57,5000	3,24717
57,6000	3,24717
57,7000	3,24717
57,8000	3,25205
57,9000	3,25205
58,0000	3,25205
58,1000	3,25205
58,2000	3,24717
58,3000	3,24717
58,4000	3,24229
58,5000	3,24717
58,6000	3,24717
58,7000	3,24717
58,8000	3,24717
58,9000	3,24717
59,0000	3,24717
59,1000	3,24717
59,2000	3,24717
59,3000	3,24229
59,4000	3,24229
59,5000	3,24717
59,6000	3,24717
59,7000	3,24229
59,8000	3,24717
59,9000	3,25205
60,0000	3,24717
60,1000	3,24717
60,2000	3,24717
60,3000	3,24717
60,4000	3,24717
60,5000	3,24717
60,6000	3,24229
60,7000	3,24717
60,8000	3,24717
60,9000	3,24717
61,0000	3,24717
61,1000	3,24717
61,2000	3,24717
61,3000	3,24717
61,4000	3,24717
61,5000	3,24717
61,6000	3,24229
61,7000	3,24717
61,8000	3,24229
61,9000	3,24229
