Pressione, Can A, Raccolta #8
Tempo ( s )	Pressione ( kPa )
0,0000	-0,01953
0,1000	-0,01953
0,2000	-0,01953
0,3000	-0,01953
0,4000	-0,01953
0,5000	-0,01953
0,6000	-0,01953
0,7000	-0,01953
0,8000	-0,01953
0,9000	-0,01953
1,0000	-0,01953
1,1000	-0,01953
1,2000	-0,01953
1,3000	-0,01953
1,4000	-0,01953
1,5000	-0,01953
1,6000	-0,01953
1,7000	-0,01953
1,8000	-0,01953
1,9000	-0,01953
2,0000	-0,01953
2,1000	-0,01953
2,2000	-0,01953
2,3000	-0,01953
2,4000	-0,01953
2,5000	-0,01953
2,6000	-0,01953
2,7000	-0,01953
2,8000	-0,01953
2,9000	-0,01953
3,0000	-0,01953
3,1000	-0,01953
3,2000	-0,00977
3,3000	0,34181
3,4000	1,68462
3,5000	1,71880
3,6000	1,69927
3,7000	1,68462
3,8000	1,66021
3,9000	1,64068
4,0000	1,62114
4,1000	1,61138
4,2000	1,59673
4,3000	1,58696
4,4000	1,58208
4,5000	1,56743
4,6000	1,56255
4,7000	1,54790
4,8000	1,54302
4,9000	1,53325
5,0000	1,52348
5,1000	1,51860
5,2000	1,51372
5,3000	1,50395
5,4000	1,50395
5,5000	1,48930
5,6000	1,48442
5,7000	1,48442
5,8000	1,46977
5,9000	1,46489
6,0000	1,46489
6,1000	1,45512
6,2000	1,45024
6,3000	1,45024
6,4000	1,44536
6,5000	1,44047
6,6000	1,43559
6,7000	1,43559
6,8000	1,43559
6,9000	1,43071
7,0000	1,42582
7,1000	1,42582
7,2000	1,42582
7,3000	1,41606
7,4000	1,41118
7,5000	1,41118
7,6000	1,40629
7,7000	1,40629
7,8000	1,40629
7,9000	1,40629
8,0000	1,40629
8,1000	1,40629
8,2000	1,39164
8,3000	1,39164
8,4000	1,38676
8,5000	1,39164
8,6000	1,38676
8,7000	1,38676
8,8000	1,38676
8,9000	1,38676
9,0000	1,38676
9,1000	1,38676
9,2000	1,37700
9,3000	1,37211
9,4000	1,37211
9,5000	1,36723
9,6000	1,37211
9,7000	1,36723
9,8000	1,36723
9,9000	1,36723
10,0000	1,36235
10,1000	1,36235
10,2000	1,36235
10,3000	1,35746
10,4000	1,35746
10,5000	1,35746
10,6000	1,35746
10,7000	1,35258
10,8000	1,35258
10,9000	1,35258
11,0000	1,34770
11,1000	1,34770
11,2000	1,34770
11,3000	1,34770
11,4000	1,34770
11,5000	1,34770
11,6000	1,34770
11,7000	1,34770
11,8000	1,34770
11,9000	1,34770
12,0000	1,34770
12,1000	1,34770
12,2000	1,33793
12,3000	1,33305
12,4000	1,33793
12,5000	1,33793
12,6000	1,33305
12,7000	1,33305
12,8000	1,33305
12,9000	1,33305
13,0000	1,32817
13,1000	1,32817
13,2000	1,32817
13,3000	1,32817
13,4000	1,32817
13,5000	1,32817
13,6000	1,32817
13,7000	1,32817
13,8000	1,32817
13,9000	1,32817
14,0000	1,32817
14,1000	1,32817
14,2000	1,32817
14,3000	1,32817
14,4000	1,32817
14,5000	1,32817
14,6000	1,32817
14,7000	1,32817
14,8000	1,32817
14,9000	1,32817
15,0000	1,31840
15,1000	1,31840
15,2000	1,31840
15,3000	1,31352
15,4000	1,31840
15,5000	1,31352
15,6000	1,31352
15,7000	1,31840
15,8000	1,31840
15,9000	1,30863
16,0000	1,31352
16,1000	1,30863
16,2000	1,31352
16,3000	1,31352
16,4000	1,30863
16,5000	1,30863
16,6000	1,30863
16,7000	1,30863
16,8000	1,30863
16,9000	1,30863
17,0000	1,30863
17,1000	1,30863
17,2000	1,30863
17,3000	1,30863
17,4000	1,30863
17,5000	1,30863
17,6000	1,30863
17,7000	1,30863
17,8000	1,30863
17,9000	1,30863
18,0000	1,30863
18,1000	1,30863
18,2000	1,30863
18,3000	1,30863
18,4000	1,30863
18,5000	1,30863
18,6000	1,30863
18,7000	1,30863
18,8000	1,30863
18,9000	1,29887
19,0000	1,30863
19,1000	1,29887
19,2000	1,29398
19,3000	1,29398
19,4000	1,29887
19,5000	1,29398
19,6000	1,29398
19,7000	1,29887
19,8000	1,29398
19,9000	1,29887
20,0000	1,29887
20,1000	1,29398
20,2000	1,29398
20,3000	1,29398
20,4000	1,29887
20,5000	1,29887
20,6000	1,29398
20,7000	1,29398
20,8000	1,29398
20,9000	1,29398
21,0000	1,29398
21,1000	1,29398
21,2000	1,28910
21,3000	1,28910
21,4000	1,28910
21,5000	1,28910
21,6000	1,28910
21,7000	1,29398
21,8000	1,28910
21,9000	1,29398
22,0000	1,29398
22,1000	1,28910
22,2000	1,29398
22,3000	1,28910
22,4000	1,29398
22,5000	1,28910
22,6000	1,28910
22,7000	1,28910
22,8000	1,29398
22,9000	1,28910
23,0000	1,28910
23,1000	1,29398
23,2000	1,28910
23,3000	1,28910
23,4000	1,28910
23,5000	1,28910
23,6000	1,28910
23,7000	1,28910
23,8000	1,28910
23,9000	1,28910
24,0000	1,28910
24,1000	1,28910
24,2000	1,28910
24,3000	1,28910
24,4000	1,28910
24,5000	1,28910
24,6000	1,28910
24,7000	1,28910
24,8000	1,28910
24,9000	1,28910
25,0000	1,28910
25,1000	1,28910
25,2000	1,28910
25,3000	1,28910
25,4000	1,28910
25,5000	1,28910
25,6000	1,28910
25,7000	1,28910
25,8000	1,28910
25,9000	1,28910
26,0000	1,28910
26,1000	1,28910
26,2000	1,28910
26,3000	1,28910
26,4000	1,28910
26,5000	1,28422
26,6000	1,28910
26,7000	1,28910
26,8000	1,28910
26,9000	1,28422
27,0000	1,28422
27,1000	1,28910
27,2000	1,28910
27,3000	1,28422
27,4000	1,28910
27,5000	1,28910
27,6000	1,28422
27,7000	1,28910
27,8000	1,28422
27,9000	1,28910
28,0000	1,28910
28,1000	1,28422
28,2000	1,28422
28,3000	1,28910
28,4000	1,28422
28,5000	1,28422
28,6000	1,28910
28,7000	1,28422
28,8000	1,28422
28,9000	1,28910
29,0000	1,27934
29,1000	1,28422
29,2000	1,28910
29,3000	1,27934
29,4000	1,28422
29,5000	1,27934
29,6000	1,27934
29,7000	1,28910
29,8000	1,27934
29,9000	1,28422
30,0000	1,28422
30,1000	1,27934
30,2000	1,27934
30,3000	1,27934
30,4000	1,27934
30,5000	1,27934
30,6000	1,28422
30,7000	1,28422
30,8000	1,27934
30,9000	1,27934
31,0000	1,28422
31,1000	1,27934
31,2000	1,27934
31,3000	1,28422
31,4000	1,27934
31,5000	1,27934
31,6000	1,27934
31,7000	1,28422
31,8000	1,27934
31,9000	1,27934
32,0000	1,27934
32,1000	1,27934
32,2000	1,27934
32,3000	1,27934
32,4000	1,27934
32,5000	1,28422
32,6000	1,27934
32,7000	1,27934
32,8000	1,27934
32,9000	1,27934
33,0000	1,27934
33,1000	1,27934
33,2000	1,27934
33,3000	1,27934
33,4000	1,27934
33,5000	1,27934
33,6000	1,27934
33,7000	1,27934
33,8000	1,27934
33,9000	1,27934
34,0000	1,27934
34,1000	1,27934
34,2000	1,27934
34,3000	1,27934
34,4000	1,27934
34,5000	1,28422
34,6000	1,27934
34,7000	1,27934
34,8000	1,27934
34,9000	1,27934
35,0000	1,27934
35,1000	1,27934
35,2000	1,27934
35,3000	1,27445
35,4000	1,27934
35,5000	1,27934
35,6000	1,27934
35,7000	1,27934
35,8000	1,27934
35,9000	1,27445
36,0000	1,27934
36,1000	1,27445
36,2000	1,27445
36,3000	1,27934
36,4000	1,27934
36,5000	1,27934
36,6000	1,27445
36,7000	1,27445
36,8000	1,27445
36,9000	1,27445
37,0000	1,26957
37,1000	1,26957
37,2000	1,26957
37,3000	1,26957
37,4000	1,27445
37,5000	1,26957
37,6000	1,26957
37,7000	1,26957
37,8000	1,27445
37,9000	1,27445
38,0000	1,27445
38,1000	1,26957
38,2000	1,26957
38,3000	1,26957
38,4000	1,26957
38,5000	1,26957
38,6000	1,26957
38,7000	1,27445
38,8000	1,27445
38,9000	1,26957
39,0000	1,26957
39,1000	1,26957
39,2000	1,26957
39,3000	1,27445
39,4000	1,26957
39,5000	1,26957
39,6000	1,26957
39,7000	1,26957
39,8000	1,26957
39,9000	1,26957
40,0000	1,26957
40,1000	1,26957
40,2000	1,26957
40,3000	1,26957
40,4000	1,27445
40,5000	1,26957
40,6000	1,26957
40,7000	1,26957
40,8000	1,27445
40,9000	1,27445
41,0000	1,26957
41,1000	1,26957
41,2000	1,27445
41,3000	1,26957
41,4000	1,26957
41,5000	1,27445
41,6000	1,26957
41,7000	1,26957
41,8000	1,26957
41,9000	1,27445
42,0000	1,26957
42,1000	1,26957
42,2000	1,26957
42,3000	1,26957
42,4000	1,26957
42,5000	1,26957
42,6000	1,26957
42,7000	1,26957
42,8000	1,26957
42,9000	1,26957
43,0000	1,26957
43,1000	1,26957
43,2000	1,26957
43,3000	1,27445
43,4000	1,26957
43,5000	1,26957
43,6000	1,26957
43,7000	1,26957
43,8000	1,26957
43,9000	1,26957
44,0000	1,26957
44,1000	1,26957
44,2000	1,26957
44,3000	1,26957
44,4000	1,27445
44,5000	1,26957
44,6000	1,26957
44,7000	1,26957
44,8000	1,26957
44,9000	1,26957
45,0000	1,26957
45,1000	1,26957
45,2000	1,27445
45,3000	1,27445
45,4000	1,27445
45,5000	1,26957
45,6000	1,26957
45,7000	1,27445
45,8000	1,26957
45,9000	1,26957
46,0000	1,26957
46,1000	1,26957
46,2000	1,27445
46,3000	1,26957
46,4000	1,26957
46,5000	1,26957
46,6000	1,26957
46,7000	1,26957
46,8000	1,26957
46,9000	1,27445
47,0000	1,26957
47,1000	1,26957
47,2000	1,27445
47,3000	1,26957
47,4000	1,27445
47,5000	1,27445
47,6000	1,26957
47,7000	1,26957
47,8000	1,26957
47,9000	1,27445
48,0000	1,26957
48,1000	1,26957
48,2000	1,26957
48,3000	1,26957
48,4000	1,26957
48,5000	1,26957
48,6000	1,26957
48,7000	1,26957
48,8000	1,26957
48,9000	1,26957
49,0000	1,26957
49,1000	1,26957
49,2000	1,26957
49,3000	1,26957
49,4000	1,26957
49,5000	1,26957
49,6000	1,26957
49,7000	1,26957
49,8000	1,26957
49,9000	1,26957
50,0000	1,26957
50,1000	1,26957
50,2000	1,26957
50,3000	1,26957
50,4000	1,26957
50,5000	1,26957
50,6000	1,26957
50,7000	1,26957
50,8000	1,26957
50,9000	1,26957
51,0000	1,26957
51,1000	1,26957
51,2000	1,26957
51,3000	1,26957
51,4000	1,26957
51,5000	1,26957
51,6000	1,26957
51,7000	1,26957
51,8000	1,26957
51,9000	1,26957
52,0000	1,26957
52,1000	1,26957
52,2000	1,26957
52,3000	1,26957
52,4000	1,26957
52,5000	1,26957
52,6000	1,26957
52,7000	1,27445
52,8000	1,26957
52,9000	1,26957
53,0000	1,26957
53,1000	1,26957
53,2000	1,26957
53,3000	1,26957
53,4000	1,26957
53,5000	1,26957
53,6000	1,26957
53,7000	1,26957
53,8000	1,26957
53,9000	1,26957
54,0000	1,26957
54,1000	1,26957
54,2000	1,26957
54,3000	1,26957
54,4000	1,26957
54,5000	1,26957
54,6000	1,26957
54,7000	1,26957
54,8000	1,26957
54,9000	1,26957
55,0000	1,26957
55,1000	1,26957
55,2000	1,26957
55,3000	1,26957
55,4000	1,26957
55,5000	1,26957
55,6000	1,26957
55,7000	1,26957
55,8000	1,26957
55,9000	1,26957
56,0000	1,26957
56,1000	1,26957
56,2000	1,26957
56,3000	1,26957
56,4000	1,26957
56,5000	1,25980
56,6000	1,26957
56,7000	1,25980
56,8000	1,26957
56,9000	1,26957
57,0000	1,25980
57,1000	1,25980
57,2000	1,25980
57,3000	1,25492
57,4000	1,26957
57,5000	1,25980
57,6000	1,25980
57,7000	1,26957
57,8000	1,25980
57,9000	1,25980
58,0000	1,25492
58,1000	1,25492
58,2000	1,25492
58,3000	1,25492
58,4000	1,25492
58,5000	1,25492
58,6000	1,25492
58,7000	1,25492
58,8000	1,25492
58,9000	1,25004
59,0000	1,25492
59,1000	1,25492
59,2000	1,25492
59,3000	1,25492
59,4000	1,25492
59,5000	1,25004
59,6000	1,25004
59,7000	1,25492
59,8000	1,25492
59,9000	1,25492
60,0000	1,25492
60,1000	1,25004
60,2000	1,25492
60,3000	1,25004
60,4000	1,25492
60,5000	1,25004
60,6000	1,25004
60,7000	1,25492
60,8000	1,25004
60,9000	1,25004
61,0000	1,25492
61,1000	1,25004
61,2000	1,25004
61,3000	1,25004
61,4000	1,25004
61,5000	1,25004
61,6000	1,25492
61,7000	1,25004
