Tempo ( s )	Pressione ( kPa )
0.0000	0.00000
0.1000	0.00977
0.2000	0.00977
0.3000	0.00977
0.4000	0.00977
0.5000	0.00977
0.6000	0.00977
0.7000	0.00977
0.8000	0.00977
0.9000	0.01465
1.0000	0.00977
1.1000	0.00977
1.2000	0.00977
1.3000	0.01465
1.4000	0.00977
1.5000	0.01465
1.6000	0.01465
1.7000	0.01465
1.8000	0.01465
1.9000	0.01465
2.0000	0.01953
2.1000	1.15726
2.2000	4.41420
2.3000	4.32630
2.4000	4.22376
2.5000	4.15052
2.6000	4.08216
2.7000	4.03333
2.8000	3.97961
2.9000	3.94543
3.0000	3.90637
3.1000	3.87707
3.2000	3.85266
3.3000	3.82336
3.4000	3.80383
3.5000	3.78918
3.6000	3.76476
3.7000	3.75011
3.8000	3.72570
3.9000	3.72082
4.0000	3.71105
4.1000	3.69152
4.2000	3.67687
4.3000	3.66710
4.4000	3.65734
4.5000	3.64757
4.6000	3.63781
4.7000	3.63292
4.8000	3.62316
4.9000	3.60851
5.0000	3.60363
5.1000	3.59874
5.2000	3.59386
5.3000	3.57921
5.4000	3.56944
5.5000	3.56456
5.6000	3.55968
5.7000	3.55480
5.8000	3.54503
5.9000	3.54015
6.0000	3.53038
6.1000	3.53038
6.2000	3.52550
6.3000	3.52062
6.4000	3.51085
6.5000	3.51085
6.6000	3.50597
6.7000	3.50108
6.8000	3.49132
6.9000	3.49132
7.0000	3.48643
7.1000	3.48643
7.2000	3.47667
7.3000	3.47667
7.4000	3.47667
7.5000	3.46690
7.6000	3.46690
7.7000	3.46690
7.8000	3.46202
7.9000	3.45225
8.0000	3.45225
8.1000	3.45225
8.2000	3.44737
8.3000	3.44249
8.4000	3.44249
8.5000	3.43760
8.6000	3.43760
8.7000	3.43272
8.8000	3.43272
8.9000	3.42784
9.0000	3.42784
9.1000	3.42296
9.2000	3.42296
9.3000	3.42296
9.4000	3.41319
9.5000	3.41319
9.6000	3.41319
9.7000	3.40831
9.8000	3.40831
9.9000	3.40342
