Pressione, Can A, Raccolta #12
Tempo ( s )	Pressione ( kPa )
0,0000	-0,01953
0,1000	-0,01953
0,2000	-0,01953
0,3000	-0,01953
0,4000	-0,01953
0,5000	-0,01953
0,6000	-0,01953
0,7000	-0,01953
0,8000	-0,01953
0,9000	-0,01953
1,0000	-0,01953
1,1000	-0,01953
1,2000	-0,01953
1,3000	-0,01953
1,4000	-0,01953
1,5000	-0,01953
1,6000	-0,01953
1,7000	-0,01953
1,8000	-0,01953
1,9000	-0,01953
2,0000	-0,01953
2,1000	0,07813
2,2000	0,88382
2,3000	2,31452
2,4000	4,16028
2,5000	4,30189
2,6000	4,24818
2,7000	4,17982
2,8000	4,12122
2,9000	4,07239
3,0000	4,02844
3,1000	3,99426
3,2000	3,96496
3,3000	3,92590
3,4000	3,90637
3,5000	3,87219
3,6000	3,84777
3,7000	3,82824
3,8000	3,80871
3,9000	3,78918
4,0000	3,76965
4,1000	3,75011
4,2000	3,75011
4,3000	3,73058
4,4000	3,71105
4,5000	3,69640
4,6000	3,69152
4,7000	3,67199
4,8000	3,67199
4,9000	3,65246
5,0000	3,64269
5,1000	3,63292
5,2000	3,62316
5,3000	3,61827
5,4000	3,61339
5,5000	3,59874
5,6000	3,59386
5,7000	3,59386
5,8000	3,57921
5,9000	3,57433
6,0000	3,56456
6,1000	3,55968
6,2000	3,55480
6,3000	3,54991
6,4000	3,54503
6,5000	3,54015
6,6000	3,53526
6,7000	3,53526
6,8000	3,52550
6,9000	3,52062
7,0000	3,51573
7,1000	3,51573
7,2000	3,50597
7,3000	3,50108
7,4000	3,49620
7,5000	3,49620
7,6000	3,49620
7,7000	3,48643
7,8000	3,48155
7,9000	3,48155
8,0000	3,47667
8,1000	3,47667
8,2000	3,46690
8,3000	3,46202
8,4000	3,46202
8,5000	3,45714
8,6000	3,45714
8,7000	3,45714
8,8000	3,44737
8,9000	3,44249
9,0000	3,44249
9,1000	3,43760
9,2000	3,43760
9,3000	3,43760
9,4000	3,43760
9,5000	3,43760
9,6000	3,42296
9,7000	3,42296
9,8000	3,42296
9,9000	3,41807
10,0000	3,41807
10,1000	3,41807
10,2000	3,40831
10,3000	3,40831
10,4000	3,40342
10,5000	3,40342
10,6000	3,39854
10,7000	3,39854
10,8000	3,39854
10,9000	3,39854
11,0000	3,39854
11,1000	3,38878
11,2000	3,38878
11,3000	3,38878
11,4000	3,38389
11,5000	3,37901
11,6000	3,38389
11,7000	3,37901
11,8000	3,37901
11,9000	3,37901
12,0000	3,37901
12,1000	3,37901
12,2000	3,37901
12,3000	3,36436
12,4000	3,36924
12,5000	3,36436
12,6000	3,36436
12,7000	3,36436
12,8000	3,36436
12,9000	3,36436
13,0000	3,35948
13,1000	3,35948
13,2000	3,35948
13,3000	3,35948
13,4000	3,35948
13,5000	3,35948
13,6000	3,35948
13,7000	3,34971
13,8000	3,34971
13,9000	3,34483
14,0000	3,34971
14,1000	3,34483
14,2000	3,34483
14,3000	3,34483
14,4000	3,34483
14,5000	3,33995
14,6000	3,33995
14,7000	3,33995
14,8000	3,33995
14,9000	3,33995
15,0000	3,33995
15,1000	3,33995
15,2000	3,33995
15,3000	3,33995
15,4000	3,33995
15,5000	3,33995
15,6000	3,33995
15,7000	3,33995
15,8000	3,33995
15,9000	3,33018
16,0000	3,33018
16,1000	3,32530
16,2000	3,33018
16,3000	3,32530
16,4000	3,32530
16,5000	3,32530
16,6000	3,32041
16,7000	3,32041
16,8000	3,32530
16,9000	3,32041
17,0000	3,32041
17,1000	3,32041
17,2000	3,32041
17,3000	3,32041
17,4000	3,32041
17,5000	3,31553
17,6000	3,32041
17,7000	3,32041
17,8000	3,32041
17,9000	3,32041
18,0000	3,32041
18,1000	3,31553
18,2000	3,31553
18,3000	3,31065
18,4000	3,31553
18,5000	3,31553
18,6000	3,31553
18,7000	3,31553
18,8000	3,31553
18,9000	3,31065
19,0000	3,31065
19,1000	3,31065
19,2000	3,31065
19,3000	3,30576
19,4000	3,31065
19,5000	3,31065
19,6000	3,30576
19,7000	3,30576
19,8000	3,31065
19,9000	3,30576
20,0000	3,31065
20,1000	3,30088
20,2000	3,30576
20,3000	3,30088
20,4000	3,31065
20,5000	3,30576
20,6000	3,30576
20,7000	3,30576
20,8000	3,30576
20,9000	3,30576
21,0000	3,30576
21,1000	3,30088
21,2000	3,30088
21,3000	3,30088
21,4000	3,30088
21,5000	3,30576
21,6000	3,30088
21,7000	3,30088
21,8000	3,30088
21,9000	3,30088
22,0000	3,30088
22,1000	3,30088
22,2000	3,30088
22,3000	3,30088
22,4000	3,30088
22,5000	3,30088
22,6000	3,30088
22,7000	3,30088
22,8000	3,30088
22,9000	3,30088
23,0000	3,30088
23,1000	3,30088
23,2000	3,30088
23,3000	3,30088
23,4000	3,30088
23,5000	3,30088
23,6000	3,30088
23,7000	3,30088
23,8000	3,30088
23,9000	3,30088
24,0000	3,30088
24,1000	3,30088
24,2000	3,30088
24,3000	3,30088
24,4000	3,30088
24,5000	3,30088
24,6000	3,30088
24,7000	3,30088
24,8000	3,30088
24,9000	3,29112
25,0000	3,29112
25,1000	3,30088
25,2000	3,30088
25,3000	3,29112
25,4000	3,30088
25,5000	3,30088
25,6000	3,30088
25,7000	3,29112
25,8000	3,29112
25,9000	3,29112
26,0000	3,29112
26,1000	3,30088
26,2000	3,29112
26,3000	3,30088
26,4000	3,28623
26,5000	3,29112
26,6000	3,28623
26,7000	3,30088
26,8000	3,29112
26,9000	3,29112
27,0000	3,29112
27,1000	3,29112
27,2000	3,28623
27,3000	3,29112
27,4000	3,28623
27,5000	3,29112
27,6000	3,28623
27,7000	3,29112
27,8000	3,30088
27,9000	3,29112
28,0000	3,30088
28,1000	3,29112
28,2000	3,29112
28,3000	3,28623
28,4000	3,30088
28,5000	3,28623
28,6000	3,29112
28,7000	3,29112
28,8000	3,30088
28,9000	3,29112
29,0000	3,29112
29,1000	3,29112
29,2000	3,29112
29,3000	3,29112
29,4000	3,28623
29,5000	3,29112
29,6000	3,29112
29,7000	3,28623
29,8000	3,28623
29,9000	3,28623
30,0000	3,29112
30,1000	3,28623
30,2000	3,28623
30,3000	3,28623
30,4000	3,28623
30,5000	3,28623
30,6000	3,29112
30,7000	3,28623
30,8000	3,29112
30,9000	3,28623
31,0000	3,28623
31,1000	3,28623
31,2000	3,28623
31,3000	3,28623
31,4000	3,28135
31,5000	3,28623
31,6000	3,28623
31,7000	3,29112
31,8000	3,28623
31,9000	3,29112
32,0000	3,28623
32,1000	3,28623
32,2000	3,28623
32,3000	3,28623
32,4000	3,28623
32,5000	3,28623
32,6000	3,28623
32,7000	3,28623
32,8000	3,28623
32,9000	3,28623
33,0000	3,28623
33,1000	3,28623
33,2000	3,28623
33,3000	3,28135
33,4000	3,28623
33,5000	3,28135
33,6000	3,28623
33,7000	3,28623
33,8000	3,28135
33,9000	3,28623
34,0000	3,28623
34,1000	3,28623
34,2000	3,28135
34,3000	3,28135
34,4000	3,28623
34,5000	3,28135
34,6000	3,28135
34,7000	3,28135
34,8000	3,28623
34,9000	3,28135
35,0000	3,28135
35,1000	3,28135
35,2000	3,28135
35,3000	3,28623
35,4000	3,28623
35,5000	3,28623
35,6000	3,28623
35,7000	3,28623
35,8000	3,28623
35,9000	3,28623
36,0000	3,28623
36,1000	3,28135
36,2000	3,28135
36,3000	3,28135
36,4000	3,28623
36,5000	3,28623
36,6000	3,28623
36,7000	3,28623
36,8000	3,28135
36,9000	3,28623
37,0000	3,28623
37,1000	3,28135
37,2000	3,28623
37,3000	3,28135
37,4000	3,28623
37,5000	3,28135
37,6000	3,28135
37,7000	3,28135
37,8000	3,28135
37,9000	3,28135
38,0000	3,28135
38,1000	3,28135
38,2000	3,28623
38,3000	3,28135
38,4000	3,28623
38,5000	3,28135
38,6000	3,28135
38,7000	3,28135
38,8000	3,28135
38,9000	3,28135
39,0000	3,28135
39,1000	3,28135
39,2000	3,28135
39,3000	3,28135
39,4000	3,28135
39,5000	3,28135
39,6000	3,28135
39,7000	3,28135
39,8000	3,28135
39,9000	3,28623
40,0000	3,28135
40,1000	3,28623
40,2000	3,28135
40,3000	3,28135
40,4000	3,28623
40,5000	3,28135
40,6000	3,28135
40,7000	3,28135
40,8000	3,28135
40,9000	3,28135
41,0000	3,28135
41,1000	3,28135
41,2000	3,28135
41,3000	3,28135
41,4000	3,28135
41,5000	3,28135
41,6000	3,28135
41,7000	3,28135
41,8000	3,28135
41,9000	3,28135
42,0000	3,28623
42,1000	3,28135
42,2000	3,28135
42,3000	3,28135
42,4000	3,28135
42,5000	3,28135
42,6000	3,28135
42,7000	3,28135
42,8000	3,28135
42,9000	3,28135
43,0000	3,28135
43,1000	3,28135
43,2000	3,28135
43,3000	3,28135
43,4000	3,28135
43,5000	3,28135
43,6000	3,28135
43,7000	3,28135
43,8000	3,28135
43,9000	3,28135
44,0000	3,28135
44,1000	3,28135
44,2000	3,28135
44,3000	3,28135
44,4000	3,28135
44,5000	3,28135
44,6000	3,28135
44,7000	3,28135
44,8000	3,28135
44,9000	3,28135
45,0000	3,28135
45,1000	3,28135
45,2000	3,28135
45,3000	3,28135
45,4000	3,28135
45,5000	3,28135
45,6000	3,28135
45,7000	3,28135
45,8000	3,28135
45,9000	3,28135
46,0000	3,28135
46,1000	3,28135
46,2000	3,28135
46,3000	3,28135
46,4000	3,28135
46,5000	3,28135
46,6000	3,28135
46,7000	3,28135
46,8000	3,28135
46,9000	3,28135
47,0000	3,28135
47,1000	3,28135
47,2000	3,28135
47,3000	3,28135
47,4000	3,28135
47,5000	3,28135
47,6000	3,28135
47,7000	3,28135
47,8000	3,28135
47,9000	3,28135
48,0000	3,28135
48,1000	3,28135
48,2000	3,28135
48,3000	3,28135
48,4000	3,28135
48,5000	3,28135
48,6000	3,28135
48,7000	3,28135
48,8000	3,28135
48,9000	3,28135
49,0000	3,28135
49,1000	3,28135
49,2000	3,28135
49,3000	3,28135
49,4000	3,28135
49,5000	3,28135
49,6000	3,28135
49,7000	3,28135
49,8000	3,28135
49,9000	3,28135
50,0000	3,28135
50,1000	3,28135
50,2000	3,28135
50,3000	3,28135
50,4000	3,28135
50,5000	3,28135
50,6000	3,28623
50,7000	3,28135
50,8000	3,28135
50,9000	3,28135
51,0000	3,28135
51,1000	3,28135
51,2000	3,28135
51,3000	3,28135
51,4000	3,28135
51,5000	3,28135
51,6000	3,28135
51,7000	3,28135
51,8000	3,28135
51,9000	3,28135
52,0000	3,28135
52,1000	3,28135
52,2000	3,28135
52,3000	3,28135
52,4000	3,28135
52,5000	3,28135
52,6000	3,28135
52,7000	3,28135
52,8000	3,28135
52,9000	3,28135
53,0000	3,28135
53,1000	3,28135
53,2000	3,28135
53,3000	3,28135
53,4000	3,28135
53,5000	3,28135
53,6000	3,28135
53,7000	3,28135
53,8000	3,28135
53,9000	3,28135
54,0000	3,28135
54,1000	3,28135
54,2000	3,28135
54,3000	3,28135
54,4000	3,28135
54,5000	3,28135
54,6000	3,28135
54,7000	3,28135
54,8000	3,28623
54,9000	3,28135
55,0000	3,28135
55,1000	3,28135
55,2000	3,28135
55,3000	3,28135
55,4000	3,28135
55,5000	3,28135
55,6000	3,28135
55,7000	3,28135
55,8000	3,28135
55,9000	3,28135
56,0000	3,28135
56,1000	3,28135
56,2000	3,28135
56,3000	3,28135
56,4000	3,28135
56,5000	3,28135
56,6000	3,28135
56,7000	3,28135
56,8000	3,28135
56,9000	3,28135
57,0000	3,28135
57,1000	3,28135
57,2000	3,28135
57,3000	3,28135
57,4000	3,28135
57,5000	3,28135
57,6000	3,28135
57,7000	3,28135
57,8000	3,28135
57,9000	3,28135
58,0000	3,28135
58,1000	3,28135
58,2000	3,28135
58,3000	3,28135
58,4000	3,28135
58,5000	3,28135
58,6000	3,28135
58,7000	3,28135
58,8000	3,28135
58,9000	3,28135
59,0000	3,28135
59,1000	3,28135
59,2000	3,28135
59,3000	3,28135
59,4000	3,28135
59,5000	3,28135
59,6000	3,28135
59,7000	3,28135
59,8000	3,28135
59,9000	3,28135
60,0000	3,28135
60,1000	3,28135
60,2000	3,28135
60,3000	3,28135
60,4000	3,28135
60,5000	3,28135
60,6000	3,28135
60,7000	3,28135
60,8000	3,28135
60,9000	3,28135
61,0000	3,28135
61,1000	3,28135
61,2000	3,28135
61,3000	3,28135
61,4000	3,28135
61,5000	3,28135
61,6000	3,28135
61,7000	3,28135
61,8000	3,28135
