Tempo ( s )	Pressione ( kPa )
0.0000	0.00977
0.1000	0.01953
0.2000	0.01953
0.3000	0.01953
0.4000	0.01953
0.5000	0.01953
0.6000	0.01953
0.7000	0.01953
0.8000	0.01953
0.9000	0.01953
1.0000	0.01953
1.1000	0.01953
1.2000	0.01953
1.3000	0.01953
1.4000	0.01953
1.5000	0.01953
1.6000	0.01953
1.7000	0.01953
1.8000	1.07425
1.9000	4.42396
2.0000	4.32142
2.1000	4.21888
2.2000	4.14563
2.3000	4.08216
2.4000	4.02844
2.5000	3.98450
2.6000	3.94543
2.7000	3.91614
2.8000	3.88684
2.9000	3.85266
3.0000	3.83312
3.1000	3.80871
3.2000	3.78918
3.3000	3.76965
3.4000	3.75500
3.5000	3.75011
3.6000	3.73058
3.7000	3.71105
3.8000	3.69640
3.9000	3.69152
4.0000	3.67687
4.1000	3.67199
4.2000	3.65734
4.3000	3.65246
4.4000	3.63781
4.5000	3.62804
4.6000	3.62316
4.7000	3.61339
4.8000	3.61339
4.9000	3.60363
5.0000	3.59874
5.1000	3.59386
5.2000	3.59386
5.3000	3.57921
5.4000	3.57433
5.5000	3.57433
5.6000	3.56456
5.7000	3.55968
5.8000	3.55480
5.9000	3.54991
6.0000	3.54503
6.1000	3.54015
6.2000	3.53526
6.3000	3.53526
6.4000	3.52550
6.5000	3.52550
6.6000	3.51573
6.7000	3.51573
6.8000	3.51573
6.9000	3.50597
7.0000	3.50108
7.1000	3.49620
7.2000	3.49620
7.3000	3.49620
7.4000	3.48155
7.5000	3.48155
7.6000	3.47667
7.7000	3.47667
7.8000	3.47667
7.9000	3.47179
8.0000	3.47179
8.1000	3.46690
8.2000	3.46202
8.3000	3.45714
8.4000	3.45714
8.5000	3.45714
8.6000	3.45714
8.7000	3.44737
8.8000	3.44737
8.9000	3.44249
9.0000	3.43760
9.1000	3.43760
9.2000	3.43760
9.3000	3.43760
9.4000	3.43760
9.5000	3.43760
9.6000	3.42784
