Tempo ( s )	Pressione ( kPa )
0.0000	-0.01953
0.1000	-0.01465
0.2000	-0.02441
0.3000	-0.01953
0.4000	-0.02441
0.5000	-0.02441
0.6000	-0.01953
0.7000	-0.01465
0.8000	-0.01465
0.9000	-0.01465
1.0000	-0.02441
1.1000	-0.01465
1.2000	-0.01465
1.3000	-0.01465
1.4000	-0.02441
1.5000	-0.01953
1.6000	-0.02441
1.7000	-0.01953
1.8000	-0.01953
1.9000	-0.01953
2.0000	-0.01465
2.1000	0.00000
2.2000	1.13773
2.3000	4.42885
2.4000	4.31654
2.5000	4.22376
2.6000	4.15052
2.7000	4.08216
2.8000	4.02844
2.9000	3.97961
3.0000	3.94543
3.1000	3.90637
3.2000	3.87707
3.3000	3.85266
3.4000	3.82336
3.5000	3.79894
3.6000	3.78430
3.7000	3.75988
3.8000	3.75011
3.9000	3.72570
4.0000	3.71105
4.1000	3.69640
4.2000	3.68175
4.3000	3.66710
4.4000	3.66222
4.5000	3.64757
4.6000	3.63781
4.7000	3.62804
4.8000	3.61339
4.9000	3.60851
5.0000	3.59874
5.1000	3.59386
5.2000	3.57921
5.3000	3.56944
5.4000	3.56456
5.5000	3.55480
5.6000	3.55480
5.7000	3.54503
5.8000	3.53526
5.9000	3.53038
6.0000	3.52550
6.1000	3.52062
6.2000	3.51573
6.3000	3.50597
6.4000	3.49132
6.5000	3.49132
6.6000	3.48155
6.7000	3.47667
6.8000	3.46690
6.9000	3.45225
7.0000	3.45225
7.1000	3.44249
7.2000	3.43760
7.3000	3.43760
7.4000	3.42784
7.5000	3.42296
7.6000	3.41319
7.7000	3.39854
7.8000	3.38878
7.9000	3.38878
8.0000	3.38878
8.1000	3.38389
8.2000	3.37413
8.3000	3.37901
8.4000	3.37413
8.5000	3.36924
8.6000	3.36924
8.7000	3.36436
