Pressione, Can A, Raccolta #7
Tempo ( s )	Pressione ( kPa )
31,6000	5,19547
31,7000	5,19547
31,8000	5,19547
31,9000	5,19547
32,0000	5,19547
32,1000	5,19547
32,2000	5,19547
32,3000	5,19547
32,4000	5,19547
32,5000	5,19547
32,6000	5,19547
32,7000	5,19547
32,8000	5,19547
32,9000	5,19547
33,0000	5,19547
33,1000	5,19547
33,2000	5,19059
33,3000	5,19547
33,4000	5,19059
33,5000	5,19059
33,6000	5,19547
33,7000	5,19547
33,8000	5,19547
33,9000	5,19059
34,0000	5,19059
34,1000	5,19547
34,2000	5,19547
34,3000	5,19059
34,4000	5,19059
34,5000	5,19059
34,6000	5,19059
34,7000	5,19059
34,8000	5,18571
34,9000	5,19059
35,0000	5,19059
35,1000	5,19059
35,2000	5,19547
35,3000	5,19059
35,4000	5,19059
35,5000	5,18571
35,6000	5,18571
35,7000	5,19059
35,8000	5,19059
35,9000	5,19059
36,0000	5,19059
36,1000	5,18571
36,2000	5,18571
36,3000	5,19059
36,4000	5,18571
36,5000	5,18571
36,6000	5,19547
36,7000	5,18571
36,8000	5,18571
36,9000	5,19059
37,0000	5,18571
37,1000	5,19059
37,2000	5,19059
37,3000	5,18571
37,4000	5,18571
37,5000	5,19059
37,6000	5,18571
37,7000	5,19547
37,8000	5,19059
37,9000	5,19059
38,0000	5,18571
38,1000	5,18571
38,2000	5,18571
38,3000	5,19059
38,4000	5,18571
38,5000	5,18571
38,6000	5,18571
38,7000	5,18571
38,8000	5,18571
38,9000	5,18571
39,0000	5,18571
39,1000	5,18571
39,2000	5,19059
39,3000	5,18571
39,4000	5,18571
39,5000	5,18571
39,6000	5,18571
39,7000	5,18571
39,8000	5,18571
39,9000	5,18571
40,0000	5,18571
40,1000	5,18571
40,2000	5,18571
40,3000	5,18571
40,4000	5,18082
40,5000	5,18571
40,6000	5,18571
40,7000	5,18571
40,8000	5,18571
40,9000	5,18571
41,0000	5,18571
41,1000	5,18571
41,2000	5,18571
41,3000	5,18571
41,4000	5,18571
41,5000	5,18571
41,6000	5,18571
41,7000	5,18082
41,8000	5,18082
41,9000	5,18571
42,0000	5,18571
42,1000	5,18082
42,2000	5,18571
42,3000	5,18571
42,4000	5,18571
42,5000	5,18082
42,6000	5,18571
42,7000	5,18571
42,8000	5,18571
42,9000	5,18571
43,0000	5,18082
43,1000	5,18571
43,2000	5,18571
43,3000	5,18082
43,4000	5,18571
43,5000	5,18082
43,6000	5,18082
43,7000	5,18571
43,8000	5,18571
43,9000	5,18571
44,0000	5,18571
44,1000	5,18571
44,2000	5,18571
44,3000	5,18571
44,4000	5,18571
44,5000	5,18571
44,6000	5,18571
44,7000	5,18571
44,8000	5,18571
44,9000	5,18571
45,0000	5,18082
45,1000	5,18571
45,2000	5,18082
45,3000	5,18082
45,4000	5,18571
45,5000	5,18571
45,6000	5,18571
45,7000	5,18571
45,8000	5,18571
45,9000	5,18082
46,0000	5,18082
46,1000	5,18571
46,2000	5,18571
46,3000	5,18571
46,4000	5,18571
46,5000	5,18571
46,6000	5,18082
46,7000	5,18571
46,8000	5,18082
46,9000	5,18571
47,0000	5,18571
47,1000	5,18571
47,2000	5,18571
47,3000	5,18571
47,4000	5,18082
47,5000	5,18571
47,6000	5,18082
47,7000	5,18571
47,8000	5,18571
47,9000	5,18082
48,0000	5,18571
48,1000	5,18082
48,2000	5,18571
48,3000	5,18571
48,4000	5,18082
48,5000	5,18571
48,6000	5,18571
48,7000	5,18082
48,8000	5,18571
48,9000	5,18571
49,0000	5,18571
49,1000	5,18571
49,2000	5,18571
49,3000	5,18571
49,4000	5,18571
49,5000	5,18082
49,6000	5,18571
49,7000	5,18082
49,8000	5,18571
49,9000	5,18571
50,0000	5,18571
50,1000	5,18082
50,2000	5,18571
50,3000	5,18571
50,4000	5,18082
50,5000	5,18571
50,6000	5,18082
50,7000	5,18082
50,8000	5,18571
50,9000	5,18082
51,0000	5,18571
51,1000	5,18082
51,2000	5,18082
51,3000	5,18571
51,4000	5,18082
51,5000	5,18082
51,6000	5,18571
51,7000	5,18571
51,8000	5,18571
51,9000	5,18082
52,0000	5,18082
52,1000	5,18571
52,2000	5,18571
52,3000	5,18571
52,4000	5,18571
52,5000	5,18082
52,6000	5,18571
52,7000	5,18082
52,8000	5,18571
52,9000	5,18571
53,0000	5,18571
53,1000	5,18571
53,2000	5,18082
53,3000	5,18082
53,4000	5,18571
53,5000	5,18082
53,6000	5,18082
53,7000	5,18571
53,8000	5,18571
53,9000	5,18082
54,0000	5,18571
54,1000	5,18571
54,2000	5,18571
54,3000	5,18082
54,4000	5,18082
54,5000	5,18082
54,6000	5,18082
54,7000	5,18082
54,8000	5,18571
54,9000	5,18082
55,0000	5,18571
55,1000	5,18571
55,2000	5,18082
55,3000	5,18082
55,4000	5,18571
55,5000	5,18571
55,6000	5,18571
55,7000	5,18082
55,8000	5,18571
55,9000	5,18571
56,0000	5,18082
56,1000	5,18082
56,2000	5,18571
56,3000	5,18571
56,4000	5,18571
56,5000	5,18571
56,6000	5,18571
56,7000	5,18571
56,8000	5,18571
56,9000	5,18082
57,0000	5,18082
57,1000	5,18571
57,2000	5,18571
57,3000	5,18571
57,4000	5,18082
57,5000	5,18571
57,6000	5,18082
57,7000	5,18571
57,8000	5,18082
57,9000	5,18571
58,0000	5,18571
58,1000	5,18082
58,2000	5,18571
58,3000	5,18571
58,4000	5,18082
58,5000	5,18571
58,6000	5,18082
58,7000	5,18571
58,8000	5,18571
58,9000	5,18082
59,0000	5,18571
59,1000	5,18571
59,2000	5,18571
59,3000	5,18571
59,4000	5,18082
59,5000	5,18571
59,6000	5,18082
59,7000	5,18571
59,8000	5,18571
59,9000	5,18571
60,0000	5,18571
60,1000	5,18082
60,2000	5,18571
60,3000	5,18082
60,4000	5,18082
60,5000	5,18571
60,6000	5,18571
60,7000	5,18571
60,8000	5,18082
60,9000	5,18082
61,0000	5,18082
61,1000	5,18082
61,2000	5,18571
61,3000	5,18571
61,4000	5,18082
61,5000	5,18571
61,6000	5,18571
61,7000	5,18082
61,8000	5,18571
61,9000	5,18571
62,0000	5,18571
62,1000	5,18082
62,2000	5,18571
62,3000	5,18082
62,4000	5,18082
62,5000	5,18082
62,6000	5,18082
62,7000	5,18082
62,8000	5,18571
62,9000	5,18082
63,0000	5,18082
63,1000	5,18082
63,2000	5,18082
63,3000	5,18082
63,4000	5,18571
63,5000	5,18082
63,6000	5,18082
63,7000	5,18571
63,8000	5,18571
63,9000	5,18082
64,0000	5,18571
64,1000	5,18571
64,2000	5,18082
64,3000	5,18571
64,4000	5,18082
64,5000	5,18571
64,6000	5,18571
64,7000	5,18571
64,8000	5,18571
64,9000	5,18082
65,0000	5,18082
65,1000	5,18571
65,2000	5,18571
65,3000	5,18571
65,4000	5,18082
65,5000	5,18571
65,6000	5,18571
65,7000	5,18571
65,8000	5,18082
65,9000	5,18082
66,0000	5,18082
66,1000	5,18082
66,2000	5,18082
66,3000	5,18082
66,4000	5,18082
66,5000	5,18571
66,6000	5,18082
66,7000	5,18082
66,8000	5,18082
66,9000	5,18082
67,0000	5,18082
67,1000	5,18082
67,2000	5,18082
67,3000	5,18082
67,4000	5,18082
67,5000	5,18082
67,6000	5,18082
67,7000	5,18571
67,8000	5,18082
67,9000	5,18082
68,0000	5,18082
68,1000	5,18571
68,2000	5,18082
68,3000	5,18082
68,4000	5,18571
68,5000	5,18082
68,6000	5,18082
68,7000	5,18082
68,8000	5,18082
68,9000	5,18571
69,0000	5,18082
69,1000	5,18082
69,2000	5,18082
69,3000	5,18082
69,4000	5,18082
69,5000	5,18571
69,6000	5,18082
69,7000	5,18571
69,8000	5,18571
69,9000	5,18082
70,0000	5,18571
70,1000	5,17594
70,2000	5,18082
70,3000	5,18571
70,4000	5,18082
70,5000	5,18571
70,6000	5,18082
70,7000	5,18571
70,8000	5,18571
70,9000	5,17594
71,0000	5,18082
71,1000	5,18082
71,2000	5,18571
71,3000	5,18571
71,4000	5,18082
71,5000	5,18082
71,6000	5,18571
71,7000	5,18082
71,8000	5,18082
71,9000	5,18082
72,0000	5,18082
72,1000	5,18571
72,2000	5,18082
72,3000	5,18082
72,4000	5,18082
72,5000	5,18082
72,6000	5,18082
72,7000	5,18082
72,8000	5,18082
72,9000	5,18082
73,0000	5,18082
73,1000	5,18571
73,2000	5,18082
73,3000	5,18082
73,4000	5,17106
73,5000	5,18082
73,6000	5,18082
73,7000	5,17594
73,8000	5,18571
73,9000	5,17594
74,0000	5,18082
74,1000	5,18082
74,2000	5,18082
74,3000	5,18571
74,4000	5,18082
74,5000	5,18571
74,6000	5,18082
74,7000	5,18082
74,8000	5,18082
74,9000	5,18082
75,0000	5,18082
75,1000	5,18082
75,2000	5,18082
75,3000	5,18082
75,4000	5,18082
75,5000	5,18571
75,6000	5,18082
75,7000	5,18082
75,8000	5,18082
75,9000	5,17594
76,0000	5,18082
76,1000	5,18082
76,2000	5,18082
76,3000	5,18571
76,4000	5,18571
76,5000	5,17594
76,6000	5,18571
76,7000	5,17106
76,8000	5,18082
76,9000	5,18082
77,0000	5,18082
77,1000	5,18082
77,2000	5,18082
77,3000	5,18082
77,4000	5,18082
77,5000	5,18082
77,6000	5,18571
77,7000	5,18082
77,8000	5,17594
77,9000	5,18082
78,0000	5,17106
78,1000	5,18082
78,2000	5,18082
78,3000	5,18082
78,4000	5,18082
78,5000	5,18082
78,6000	5,17106
78,7000	5,18082
78,8000	5,18082
78,9000	5,18082
79,0000	5,18082
79,1000	5,18082
79,2000	5,17594
79,3000	5,17594
79,4000	5,17594
79,5000	5,17594
79,6000	5,17594
79,7000	5,18082
79,8000	5,17594
79,9000	5,17106
80,0000	5,18082
80,1000	5,18082
80,2000	5,18082
80,3000	5,17594
80,4000	5,18082
80,5000	5,18082
80,6000	5,18082
80,7000	5,18082
80,8000	5,18082
80,9000	5,18082
81,0000	5,17594
81,1000	5,18082
81,2000	5,18082
81,3000	5,17594
81,4000	5,17106
81,5000	5,18082
81,6000	5,17594
81,7000	5,17594
81,8000	5,17594
81,9000	5,17594
82,0000	5,17594
82,1000	5,18082
82,2000	5,18082
82,3000	5,18082
82,4000	5,17594
82,5000	5,17594
82,6000	5,17594
82,7000	5,17106
82,8000	5,17106
82,9000	5,17106
83,0000	5,18082
83,1000	5,17594
83,2000	5,17594
83,3000	5,17594
83,4000	5,18082
83,5000	5,18082
83,6000	5,17594
83,7000	5,18082
83,8000	5,17594
83,9000	5,18082
84,0000	5,17594
84,1000	5,18082
84,2000	5,17594
84,3000	5,18082
84,4000	5,17594
84,5000	5,18082
84,6000	5,18082
84,7000	5,17594
84,8000	5,17594
84,9000	5,17106
85,0000	5,17594
85,1000	5,18082
85,2000	5,17594
85,3000	5,17106
85,4000	5,17594
85,5000	5,18082
85,6000	5,18082
85,7000	5,18082
85,8000	5,18082
85,9000	5,18082
86,0000	5,17594
86,1000	5,17594
86,2000	5,17106
86,3000	5,17106
86,4000	5,17594
86,5000	5,17594
86,6000	5,17594
86,7000	5,17106
86,8000	5,18082
86,9000	5,17594
87,0000	5,17594
87,1000	5,17594
87,2000	5,18082
87,3000	5,18082
87,4000	5,17594
87,5000	5,17594
87,6000	5,18082
87,7000	5,17594
87,8000	5,18082
87,9000	5,18082
88,0000	5,17106
88,1000	5,17106
88,2000	5,18082
88,3000	5,18082
88,4000	5,17594
88,5000	5,17594
88,6000	5,18082
88,7000	5,17594
88,8000	5,17594
88,9000	5,17594
89,0000	5,18082
89,1000	5,17594
89,2000	5,18082
89,3000	5,17594
89,4000	5,18082
89,5000	5,17106
89,6000	5,17106
89,7000	5,17106
89,8000	5,17106
89,9000	5,17594
90,0000	5,17594
90,1000	5,17594
90,2000	5,17106
90,3000	5,17106
90,4000	5,18082
90,5000	5,18082
90,6000	5,18082
90,7000	5,17106
90,8000	5,17594
90,9000	5,17106
91,0000	5,17594
91,1000	5,17594
91,2000	5,17594
91,3000	5,17594
91,4000	5,18082
91,5000	5,18082
91,6000	5,17106
91,7000	5,18082
91,8000	5,17106
91,9000	5,17106
92,0000	5,17594
92,1000	5,17106
92,2000	5,17594
92,3000	5,17106
92,4000	5,17594
92,5000	5,17106
92,6000	5,17106
92,7000	5,17106
92,8000	5,17106
92,9000	5,17594
93,0000	5,17106
93,1000	5,17594
93,2000	5,17594
93,3000	5,17594
93,4000	5,17106
93,5000	5,17106
93,6000	5,17106
93,7000	5,17106
93,8000	5,17106
93,9000	5,17106
94,0000	5,17106
94,1000	5,17106
94,2000	5,17106
94,3000	5,17106
94,4000	5,17106
94,5000	5,17106
94,6000	5,17106
94,7000	5,17106
94,8000	5,17106
94,9000	5,18082
95,0000	5,17106
95,1000	5,17106
95,2000	5,17106
95,3000	5,17106
95,4000	5,18082
95,5000	5,17594
95,6000	5,17106
95,7000	5,17106
95,8000	5,17594
95,9000	5,17594
96,0000	5,17106
96,1000	5,17106
96,2000	5,17106
96,3000	5,17594
96,4000	5,17106
96,5000	5,17106
96,6000	5,17106
96,7000	5,17106
96,8000	5,17106
96,9000	5,17106
97,0000	5,17106
97,1000	5,17106
97,2000	5,17106
97,3000	5,17106
97,4000	5,17106
97,5000	5,17106
97,6000	5,17106
97,7000	5,17106
97,8000	5,17106
97,9000	5,17106
98,0000	5,17106
98,1000	5,17106
98,2000	5,17106
98,3000	5,17594
98,4000	5,17106
98,5000	5,17594
98,6000	5,17106
98,7000	5,17106
98,8000	5,17106
98,9000	5,17106
99,0000	5,17106
99,1000	5,17106
99,2000	5,17106
99,3000	5,17106
99,4000	5,17106
99,5000	5,17106
99,6000	5,17594
99,7000	5,17594
99,8000	5,17594
99,9000	5,17106
100,0000	5,18082
100,1000	5,17106
100,2000	5,17106
100,3000	5,17106
100,4000	5,17106
100,5000	5,17106
100,6000	5,17106
100,7000	5,17106
100,8000	5,17106
100,9000	5,17594
101,0000	5,17594
101,1000	5,17594
101,2000	5,17106
101,3000	5,17106
101,4000	5,17594
101,5000	5,17106
101,6000	5,17594
101,7000	5,17106
101,8000	5,17106
101,9000	5,17106
102,0000	5,17106
102,1000	5,17106
102,2000	5,17594
102,3000	5,17594
102,4000	5,17106
102,5000	5,17594
102,6000	5,17106
102,7000	5,17106
102,8000	5,17106
102,9000	5,17106
103,0000	5,17594
103,1000	5,17594
103,2000	5,17594
103,3000	5,17106
103,4000	5,18082
103,5000	5,17106
103,6000	5,17106
103,7000	5,17106
103,8000	5,17594
103,9000	5,18082
104,0000	5,17106
104,1000	5,17106
104,2000	5,17106
104,3000	5,17106
104,4000	5,17106
104,5000	5,17106
104,6000	5,17594
104,7000	5,17594
104,8000	5,17106
104,9000	5,17106
105,0000	5,17106
105,1000	5,17594
105,2000	5,17594
105,3000	5,17106
105,4000	5,17106
105,5000	5,17594
105,6000	5,17594
105,7000	5,17106
105,8000	5,17106
105,9000	5,17106
106,0000	5,17106
106,1000	5,17594
106,2000	5,17106
106,3000	5,17106
106,4000	5,17106
106,5000	5,17594
106,6000	5,17106
106,7000	5,18082
106,8000	5,17106
106,9000	5,17106
107,0000	5,17106
107,1000	5,17106
107,2000	5,17106
107,3000	5,17106
107,4000	5,17106
107,5000	5,17106
107,6000	5,17106
107,7000	5,17106
107,8000	5,17594
107,9000	5,17106
108,0000	5,17106
