Temperatura. Can B ( C )	Pressione. Can A ( kPa )
23.76054	0.06348
23.67124	0.06348
23.80522	0.06348
23.71588	0.06348
23.76054	0.06836
23.71588	0.06348
23.76054	0.06348
23.76054	0.06348
23.76054	0.06836
23.67124	0.06836
23.80522	0.06836
23.71588	0.06836
23.80522	0.06836
23.67124	0.06348
23.80522	0.06348
23.71588	0.06348
23.84992	0.06348
23.71588	0.06348
23.84992	0.06836
23.67124	0.06836
23.80522	0.06836
23.67124	0.06348
23.76054	0.06836
23.71588	0.06348
23.76054	0.06836
23.67124	0.06836
23.80522	0.06836
23.71588	0.06836
23.80522	0.06836
23.71588	0.06836
23.80522	0.06836
23.71588	0.06836
23.76054	0.06836
23.71588	0.07813
23.80522	0.06836
23.76054	0.06836
23.76054	0.06836
23.76054	0.06348
23.76054	0.06836
23.67124	0.06836
23.76054	0.06836
23.71588	0.06836
23.84992	0.06836
23.67124	0.06836
23.80522	0.06836
23.71588	0.07813
23.76054	0.06836
23.71588	0.07813
23.80522	0.07324
23.67124	0.07813
23.76054	0.07324
23.76054	0.07813
23.80522	0.06836
23.67124	0.07813
23.76054	0.07324
23.71588	0.07813
23.76054	0.07324
23.71588	0.07813
23.80522	0.07324
23.67124	0.07813
23.76054	0.07324
23.71588	0.07813
23.80522	0.07813
23.76054	0.07813
23.67124	0.07813
23.67124	0.07813
23.80522	0.07813
23.71588	0.07813
23.80522	0.07813
23.67124	0.07813
23.80522	0.07813
23.76054	0.07813
23.76054	0.07813
23.67124	0.07813
23.80522	0.07813
23.71588	0.07813
23.80522	0.07813
23.67124	0.07813
23.76054	0.07813
23.71588	0.07813
23.76054	0.07813
23.71588	0.07813
23.80522	0.07813
23.67124	0.07813
23.80522	0.07813
23.71588	0.07813
23.80522	0.07813
23.67124	0.07813
23.80522	0.07813
23.71588	0.07813
23.84992	0.08301
23.71588	0.08301
23.80522	0.08301
23.67124	0.08301
23.76054	0.07813
23.67124	0.08301
23.80522	0.08789
23.67124	0.08301
23.80522	0.08301
23.76054	0.08301
23.80522	0.08301
23.67124	0.08789
23.67124	0.08301
23.67124	0.08301
23.80522	0.08301
23.71588	0.08789
23.80522	0.08789
23.71588	0.08789
23.80522	0.08301
23.71588	0.08789
23.76054	0.08789
23.71588	0.09766
23.80522	0.08789
23.76054	0.09766
23.80522	0.08789
23.67124	0.09766
23.80522	0.08789
23.71588	0.09278
23.80522	0.08789
23.67124	0.09766
23.80522	0.09278
23.71588	0.09766
23.80522	0.09278
23.71588	0.09766
23.76054	0.09278
23.71588	0.09766
23.76054	0.09766
23.71588	0.09766
23.76054	0.09278
23.67124	0.09766
23.76054	0.09766
23.71588	0.09766
23.80522	0.09766
23.67124	0.09766
23.80522	0.09766
23.71588	0.09766
23.80522	0.09766
23.71588	0.09766
23.76054	0.09766
23.71588	0.10254
23.80522	0.09766
23.67124	0.10254
23.76054	0.09766
23.67124	0.10254
23.76054	0.10254
23.71588	0.10254
23.76054	0.10254
23.71588	0.10254
23.80522	0.10743
23.71588	0.10254
23.76054	0.10743
23.67124	0.10743
23.80522	0.11719
23.71588	0.10743
23.80522	0.11719
23.71588	0.10743
23.80522	0.11719
23.76054	0.11231
23.76054	0.11719
23.67124	0.11231
23.80522	0.11719
23.67124	0.11231
23.84992	0.11719
23.67124	0.11231
23.80522	0.11719
23.71588	0.11719
23.67124	0.11719
23.67124	0.11719
23.80522	0.11719
23.71588	0.11719
23.76054	0.11719
23.71588	0.11719
23.80522	0.11719
23.67124	0.11719
23.80522	0.12207
23.71588	0.12207
23.76054	0.12207
23.71588	0.12207
23.80522	0.12696
23.67124	0.12207
23.76054	0.12696
23.71588	0.12696
23.76054	0.12696
23.76054	0.12696
23.80522	0.12696
23.67124	0.13672
23.76054	0.12696
23.67124	0.13672
23.80522	0.12696
23.71588	0.13672
23.76054	0.13184
23.71588	0.13672
23.80522	0.13184
23.71588	0.13672
23.84992	0.13184
23.76054	0.13672
23.76054	0.13672
23.67124	0.13672
23.80522	0.13672
23.71588	0.13672
23.80522	0.14161
23.71588	0.13672
23.80522	0.13672
23.71588	0.14161
23.80522	0.14161
23.67124	0.14161
23.67124	0.14161
23.71588	0.14649
23.80522	0.14649
23.71588	0.14649
23.80522	0.14649
23.71588	0.14649
23.80522	0.14649
23.76054	0.15137
23.80522	0.15625
23.71588	0.15625
23.80522	0.15625
23.67124	0.15625
23.80522	0.15625
23.76054	0.15625
23.76054	0.15625
23.67124	0.15625
23.80522	0.15625
23.71588	0.16114
23.80522	0.15625
23.71588	0.15625
23.76054	0.15625
23.67124	0.16114
23.80522	0.16114
23.71588	0.16114
23.80522	0.16114
23.71588	0.16114
23.80522	0.16602
23.71588	0.17579
23.76054	0.16602
23.67124	0.17579
23.76054	0.16602
23.71588	0.17579
23.80522	0.16602
23.67124	0.17579
23.76054	0.17090
23.67124	0.17579
23.80522	0.17090
23.71588	0.17579
23.80522	0.17579
23.76054	0.17579
23.80522	0.17579
23.76054	0.17579
23.76054	0.17579
23.71588	0.17579
23.80522	0.17579
23.71588	0.18067
23.80522	0.17579
23.71588	0.18067
23.76054	0.18555
23.71588	0.18067
23.76054	0.18555
23.71588	0.18067
23.76054	0.18555
23.71588	0.18555
23.80522	0.18555
23.71588	0.18555
23.76054	0.19532
23.71588	0.18555
23.76054	0.19532
23.71588	0.19044
23.76054	0.19532
23.67124	0.19532
23.80522	0.19532
23.76054	0.19532
23.76054	0.19532
23.71588	0.19532
23.80522	0.19532
23.76054	0.19532
23.76054	0.19532
23.71588	0.19532
23.76054	0.19532
23.76054	0.20020
23.76054	0.20020
23.67124	0.19532
23.67124	0.20020
23.67124	0.20020
23.76054	0.20020
23.67124	0.20020
23.80522	0.20508
23.67124	0.20508
23.80522	0.20508
23.71588	0.20508
23.80522	0.20508
23.71588	0.20508
23.76054	0.20508
23.71588	0.21485
23.76054	0.20508
23.71588	0.21485
23.80522	0.20997
23.71588	0.21485
23.76054	0.20997
23.71588	0.21485
23.67124	0.21485
23.67124	0.21485
23.76054	0.21485
23.71588	0.21485
23.76054	0.21485
23.71588	0.21485
23.80522	0.21485
23.71588	0.21973
23.76054	0.21485
23.71588	0.21485
23.80522	0.21485
23.71588	0.21973
23.76054	0.21973
23.71588	0.21973
23.80522	0.22462
23.76054	0.21973
23.80522	0.21973
23.71588	0.22462
23.80522	0.22462
23.71588	0.22462
23.80522	0.22462
23.67124	0.22462
23.67124	0.22462
23.76054	0.22462
23.76054	0.22462
23.67124	0.23438
23.76054	0.23438
23.67124	0.23438
23.80522	0.23438
23.67124	0.23438
23.80522	0.23438
23.71588	0.23438
23.76054	0.23438
23.71588	0.23438
23.80522	0.23438
23.71588	0.23438
23.76054	0.23438
23.71588	0.23927
23.80522	0.23927
23.67124	0.23927
23.80522	0.23438
23.67124	0.23927
23.84992	0.24415
23.71588	0.23927
23.84992	0.24415
23.71588	0.24415
23.80522	0.24415
23.71588	0.25391
23.80522	0.24415
23.67124	0.25391
23.80522	0.24415
23.71588	0.25391
23.80522	0.24903
23.71588	0.25391
23.84992	0.25391
23.71588	0.25391
23.80522	0.25391
23.67124	0.25391
23.80522	0.25391
23.67124	0.25391
23.80522	0.25391
23.71588	0.25880
23.80522	0.25880
23.71588	0.25880
23.80522	0.25880
23.67124	0.25880
23.80522	0.25880
23.71588	0.26368
23.80522	0.27345
23.67124	0.26368
23.84992	0.27345
23.71588	0.26368
23.80522	0.27345
23.71588	0.26856
23.76054	0.27345
23.71588	0.26856
23.80522	0.27345
23.67124	0.26856
23.80522	0.27345
23.71588	0.27345
23.80522	0.27345
23.71588	0.27345
23.80522	0.27345
23.67124	0.27833
23.76054	0.27833
23.76054	0.27833
23.80522	0.27833
23.71588	0.27833
23.80522	0.28321
23.71588	0.27833
23.80522	0.28321
23.67124	0.28321
23.80522	0.28321
23.76054	0.29298
23.80522	0.28321
23.76054	0.29298
23.76054	0.28809
23.71588	0.29298
23.76054	0.28809
23.67124	0.29298
23.80522	0.29298
23.71588	0.29298
23.80522	0.29298
23.71588	0.29298
23.80522	0.29298
23.76054	0.29786
23.80522	0.29786
23.67124	0.29786
23.80522	0.29786
23.76054	0.29786
23.80522	0.31251
23.76054	0.29786
23.80522	0.31251
23.67124	0.30274
23.84992	0.31251
23.71588	0.30763
23.80522	0.31251
23.76054	0.31251
23.76054	0.31251
23.71588	0.31251
23.80522	0.31251
23.71588	0.31251
23.80522	0.31251
23.76054	0.31251
23.80522	0.31251
23.76054	0.31251
23.80522	0.31251
23.71588	0.31739
23.76054	0.31739
23.67124	0.31739
23.84992	0.32228
23.71588	0.32228
23.80522	0.32228
23.67124	0.33204
23.80522	0.32228
23.71588	0.33204
23.76054	0.32716
23.71588	0.33204
23.80522	0.32716
23.71588	0.33204
23.80522	0.32716
23.76054	0.33204
23.84992	0.33204
23.80522	0.33204
23.80522	0.33204
23.76054	0.33692
23.80522	0.33692
23.71588	0.33692
23.80522	0.33692
23.76054	0.33692
23.80522	0.34181
23.71588	0.33692
23.80522	0.34181
23.71588	0.34181
23.76054	0.34181
23.76054	0.34669
23.80522	0.35157
23.71588	0.35157
23.80522	0.35157
23.67124	0.35157
23.84992	0.35157
23.76054	0.35157
23.80522	0.35157
23.71588	0.35646
23.80522	0.35646
23.71588	0.35646
23.80522	0.35646
23.71588	0.35646
23.80522	0.36134
23.76054	0.35646
23.84992	0.36134
23.76054	0.36134
23.84992	0.36134
23.76054	0.37111
23.76054	0.36134
23.71588	0.37111
23.80522	0.36622
23.76054	0.37111
23.80522	0.37111
23.76054	0.37111
23.84992	0.37111
23.71588	0.37111
23.84992	0.37111
23.80522	0.37599
23.84992	0.37111
23.71588	0.37599
23.84992	0.37599
23.76054	0.37599
23.84992	0.38087
23.71588	0.38087
23.84992	0.38087
23.71588	0.39064
23.80522	0.38575
23.71588	0.39064
23.67124	0.39064
23.80522	0.39064
23.84992	0.39064
23.76054	0.39064
23.84992	0.39064
23.71588	0.39064
23.84992	0.39064
23.76054	0.39552
23.80522	0.39552
23.71588	0.39552
23.84992	0.40040
23.80522	0.40040
23.80522	0.40040
23.76054	0.41017
23.84992	0.40529
23.80522	0.41017
23.80522	0.40529
23.76054	0.41017
23.84992	0.40529
23.71588	0.41017
23.84992	0.41017
23.76054	0.41017
23.84992	0.41017
23.80522	0.41017
23.80522	0.41505
23.76054	0.41505
23.84992	0.41505
23.76054	0.41993
23.80522	0.41993
23.76054	0.41993
23.84992	0.42970
23.76054	0.41993
23.84992	0.42970
23.76054	0.42970
23.80522	0.42970
23.76054	0.42482
23.84992	0.42970
23.71588	0.42970
23.84992	0.42970
23.76054	0.43458
23.80522	0.42970
23.76054	0.43458
23.84992	0.43458
23.80522	0.43458
23.84992	0.43458
23.80522	0.43458
23.84992	0.43947
23.76054	0.44923
23.84992	0.43947
23.76054	0.44923
23.84992	0.43947
23.76054	0.44923
23.84992	0.44435
23.67124	0.44923
23.84992	0.44435
23.76054	0.44923
23.84992	0.44923
23.76054	0.44923
23.84992	0.44923
23.71588	0.45412
23.84992	0.44923
23.76054	0.45412
23.80522	0.45412
23.80522	0.45900
23.84992	0.45900
23.80522	0.45900
23.84992	0.45900
23.76054	0.46876
23.84992	0.45900
23.76054	0.45900
23.84992	0.46876
23.76054	0.46876
23.84992	0.46876
23.76054	0.46876
23.84992	0.46876
23.76054	0.46876
23.84992	0.46876
23.76054	0.46876
23.84992	0.46876
23.76054	0.46876
23.84992	0.47365
23.76054	0.47365
23.80522	0.47365
23.80522	0.47853
23.84992	0.47853
23.71588	0.48830
23.84992	0.47853
23.80522	0.48341
23.80522	0.48341
23.76054	0.48830
23.84992	0.48341
23.80522	0.48830
23.84992	0.48830
23.80522	0.48830
23.84992	0.48830
23.80522	0.48830
23.84992	0.48830
23.80522	0.48830
23.84992	0.48830
23.80522	0.49318
23.84992	0.49318
23.80522	0.49806
23.84992	0.49806
23.76054	0.49806
23.84992	0.49806
23.80522	0.49806
23.80522	0.50783
23.80522	0.50295
23.84992	0.50783
23.80522	0.50295
23.84992	0.50783
23.80522	0.50783
23.84992	0.50783
23.80522	0.50783
23.80522	0.50783
23.76054	0.51271
23.84992	0.51271
23.80522	0.51271
23.84992	0.51271
23.80522	0.51271
23.84992	0.51759
23.80522	0.51271
23.84992	0.51759
23.80522	0.52736
23.84992	0.51759
23.80522	0.52736
23.84992	0.51759
23.80522	0.52736
23.84992	0.52248
23.80522	0.52736
23.84992	0.52736
23.80522	0.52736
23.84992	0.52736
23.80522	0.52736
23.84992	0.52736
23.80522	0.53224
23.84992	0.53224
23.80522	0.53224
23.84992	0.53713
23.80522	0.53713
23.84992	0.53713
23.80522	0.54689
23.84992	0.54201
23.80522	0.54689
23.84992	0.54689
23.80522	0.54689
23.84992	0.54201
23.80522	0.54689
23.84992	0.54689
23.80522	0.55177
23.89465	0.54689
23.80522	0.55177
23.84992	0.55177
23.80522	0.55177
23.84992	0.55666
23.80522	0.55666
23.89465	0.55666
23.76054	0.56642
23.84992	0.55666
23.80522	0.56642
23.84992	0.56154
23.80522	0.56642
23.84992	0.56154
23.80522	0.56642
23.84992	0.56642
23.80522	0.56642
23.84992	0.56642
23.80522	0.57131
23.89465	0.56642
23.80522	0.57131
23.84992	0.57131
23.80522	0.57131
23.84992	0.57131
23.80522	0.57619
23.89465	0.58596
23.80522	0.58107
23.93939	0.58596
23.80522	0.58107
23.89465	0.58596
23.80522	0.58596
23.89465	0.58596
23.80522	0.58596
23.84992	0.58596
23.80522	0.58596
23.84992	0.59084
23.80522	0.59084
23.84992	0.59084
23.80522	0.59084
23.84992	0.59572
23.80522	0.59572
23.84992	0.59572
23.80522	0.60549
23.84992	0.59572
23.80522	0.60549
23.89465	0.60060
23.80522	0.60549
23.89465	0.60060
23.80522	0.60549
23.89465	0.60549
23.80522	0.61037
23.89465	0.61037
23.80522	0.61037
23.89465	0.61525
23.80522	0.61037
23.89465	0.61525
23.84992	0.61525
23.89465	0.62502
23.80522	0.61525
23.89465	0.62502
23.80522	0.62502
23.89465	0.62502
23.80522	0.62502
23.89465	0.62502
23.84992	0.62502
23.89465	0.62502
23.84992	0.62502
23.89465	0.62990
23.84992	0.62990
23.93939	0.62990
23.80522	0.62990
23.93939	0.63478
23.80522	0.63478
23.93939	0.63478
23.84992	0.64455
23.84992	0.63967
23.84992	0.64455
23.89465	0.63967
23.80522	0.64455
23.84992	0.64455
23.80522	0.64455
23.89465	0.64455
23.84992	0.64455
23.93939	0.64455
23.84992	0.64943
23.93939	0.65432
23.84992	0.64943
23.89465	0.66408
23.89465	0.65432
23.93939	0.66408
23.84992	0.65432
23.93939	0.66408
23.80522	0.66408
23.93939	0.66408
23.84992	0.66408
23.89465	0.66408
23.84992	0.66408
23.84992	0.66408
23.89465	0.66897
23.93939	0.66897
23.84992	0.66408
23.89465	0.66897
23.84992	0.66897
23.93939	0.67385
23.89465	0.67385
23.93939	0.67385
23.84992	0.67385
23.93939	0.67385
23.89465	0.68361
23.93939	0.67873
23.84992	0.68361
23.93939	0.68361
23.89465	0.68361
23.89465	0.68361
23.84992	0.68361
23.93939	0.68361
23.84992	0.68850
23.93939	0.68850
23.84992	0.68850
23.93939	0.69338
23.84992	0.68850
23.93939	0.69338
23.89465	0.69338
23.93939	0.69826
23.84992	0.70315
23.93939	0.69338
23.84992	0.70315
23.93939	0.70315
23.84992	0.70315
23.93939	0.70315
23.89465	0.70315
23.93939	0.70315
23.89465	0.70803
23.93939	0.70803
23.89465	0.70803
23.93939	0.71291
23.84992	0.71291
23.93939	0.71291
23.89465	0.72268
23.93939	0.71291
23.89465	0.72268
23.93939	0.71291
23.89465	0.72268
23.93939	0.72268
23.89465	0.72268
23.93939	0.72268
23.89465	0.72268
23.93939	0.72756
23.84992	0.72756
23.98416	0.72268
23.84992	0.72756
23.93939	0.72756
23.89465	0.72756
23.93939	0.73244
23.89465	0.72756
23.93939	0.73244
23.89465	0.73244
23.93939	0.74221
23.89465	0.74221
23.93939	0.74221
23.89465	0.74221
23.93939	0.74221
23.89465	0.74221
23.93939	0.74709
23.89465	0.74221
23.93939	0.74221
23.89465	0.74709
23.93939	0.74709
23.89465	0.74709
23.93939	0.75198
23.89465	0.74709
23.98416	0.75198
23.89465	0.76174
23.93939	0.75198
23.89465	0.76174
23.98416	0.75686
23.89465	0.76174
23.93939	0.76174
23.89465	0.76174
23.98416	0.76174
23.89465	0.76662
23.93939	0.76174
23.89465	0.76174
23.98416	0.77151
23.89465	0.76662
23.98416	0.77151
23.89465	0.77151
23.98416	0.77151
23.89465	0.77151
23.93939	0.77151
23.89465	0.77639
23.98416	0.78127
23.89465	0.78127
23.98416	0.78127
23.93939	0.78127
24.02895	0.78127
23.89465	0.78127
24.02895	0.78127
23.89465	0.78127
23.98416	0.78127
23.89465	0.78616
23.98416	0.78616
23.89465	0.79104
23.98416	0.79104
23.89465	0.78616
23.98416	0.79104
23.89465	0.80081
23.93939	0.79104
23.89465	0.80081
24.02895	0.79592
23.89465	0.80081
23.98416	0.79592
23.93939	0.80081
23.98416	0.80081
23.93939	0.80081
24.02895	0.80081
23.89465	0.80569
24.02895	0.80569
23.89465	0.80569
24.02895	0.81057
23.93939	0.81057
24.02895	0.82034
23.93939	0.81057
23.98416	0.82034
23.93939	0.81545
23.98416	0.82034
23.93939	0.81545
24.02895	0.82034
23.93939	0.82034
24.02895	0.82034
23.93939	0.82034
24.02895	0.82522
23.93939	0.82522
23.98416	0.82522
23.93939	0.82522
24.02895	0.83010
23.93939	0.82522
24.02895	0.82522
23.93939	0.83987
23.98416	0.83010
23.93939	0.83010
24.02895	0.83499
23.98416	0.83987
24.02895	0.83499
23.98416	0.83987
24.02895	0.83987
23.98416	0.83987
24.02895	0.83987
23.98416	0.84475
24.02895	0.83987
23.98416	0.83987
24.02895	0.84475
23.98416	0.84475
24.02895	0.84964
23.98416	0.84964
24.02895	0.84964
23.98416	0.84964
24.02895	0.84964
23.98416	0.85940
24.02895	0.85940
23.98416	0.85940
24.02895	0.85940
23.98416	0.85940
24.02895	0.85940
23.98416	0.85940
24.02895	0.85940
23.98416	0.86428
23.98416	0.86428
23.98416	0.86428
24.02895	0.86917
23.98416	0.86917
24.02895	0.86917
23.98416	0.86917
24.02895	0.86917
23.98416	0.87893
24.02895	0.87405
23.98416	0.87893
24.02895	0.87405
23.98416	0.87893
24.02895	0.87893
23.98416	0.87893
24.02895	0.87893
23.98416	0.87893
24.02895	0.88382
23.98416	0.88382
24.02895	0.88382
23.98416	0.88382
24.02895	0.88870
23.98416	0.88870
24.02895	0.88870
23.98416	0.88870
24.02895	0.89846
23.98416	0.89358
24.02895	0.89846
23.98416	0.89846
24.02895	0.89846
23.98416	0.89846
24.02895	0.89846
24.02895	0.89846
24.02895	0.90335
23.98416	0.90335
24.02895	0.90335
23.98416	0.90335
24.02895	0.90823
23.98416	0.91800
24.02895	0.90823
24.02895	0.91800
24.02895	0.91311
23.98416	0.91800
24.02895	0.91311
24.02895	0.91800
24.02895	0.91800
23.98416	0.91800
24.02895	0.91800
24.02895	0.92288
24.02895	0.91800
23.98416	0.92288
24.02895	0.92288
24.02895	0.92776
24.02895	0.93753
24.02895	0.92288
24.02895	0.93753
24.02895	0.93265
24.02895	0.93753
24.02895	0.93753
24.02895	0.93753
24.02895	0.93753
24.02895	0.93753
24.02895	0.93753
24.02895	0.93753
24.02895	0.94241
24.02895	0.93753
23.98416	0.93753
24.02895	0.94241
24.02895	0.94729
24.02895	0.94729
24.07376	0.94729
24.02895	0.94729
24.07376	0.95706
24.02895	0.95218
24.02895	0.95706
24.02895	0.95218
24.07376	0.95706
24.02895	0.95706
24.07376	0.95706
24.02895	0.95706
24.02895	0.95706
24.02895	0.96194
24.02895	0.96194
24.02895	0.96194
24.07376	0.96194
24.02895	0.97659
24.07376	0.96683
24.11859	0.96683
24.07376	0.97171
24.02895	0.97659
24.07376	0.97659
24.02895	0.97659
24.02895	0.97659
24.11859	0.97659
24.07376	0.97659
24.02895	0.98148
24.02895	0.98148
24.02895	0.98148
24.07376	0.98636
24.02895	0.98636
24.07376	0.98636
24.11859	0.98636
24.07376	0.99612
24.02895	0.99124
24.07376	0.99612
24.02895	0.99124
24.07376	0.99612
24.11859	0.99124
24.07376	0.99612
24.11859	0.99612
24.07376	0.99612
24.02895	0.99612
24.07376	1.00101
24.02895	1.00101
24.07376	1.00589
24.02895	1.00589
24.07376	1.01566
24.16344	1.00589
24.07376	1.01566
24.02895	1.01077
24.07376	1.01566
24.11859	1.01566
24.07376	1.01566
24.02895	1.01566
24.07376	1.02054
24.16344	1.01566
24.07376	1.02054
24.02895	1.02054
24.07376	1.02054
24.11859	1.02542
24.07376	1.02542
24.02895	1.02542
24.07376	1.03519
24.16344	1.02542
24.07376	1.03519
24.02895	1.03030
24.11859	1.03519
24.16344	1.03030
24.11859	1.03519
24.16344	1.03519
24.07376	1.04007
24.16344	1.03519
24.07376	1.04007
24.16344	1.04495
24.07376	1.04007
24.20832	1.04007
24.07376	1.04495
24.16344	1.05472
24.11859	1.04495
24.16344	1.05472
24.07376	1.04495
24.11859	1.05472
24.07376	1.05472
24.20832	1.05472
24.11859	1.05472
24.16344	1.05472
24.16344	1.05960
24.20832	1.05472
24.07376	1.05960
24.20832	1.05472
24.11859	1.06449
24.20832	1.06449
24.11859	1.06449
24.20832	1.06449
24.11859	1.07425
24.20832	1.06937
24.11859	1.07425
24.16344	1.07425
24.11859	1.07425
24.20832	1.07425
