Pressione, Can A in funzione di Temperatura, Can B, Raccolta #3
Temperatura, Can B ( °C )	Pressione, Can A ( kPa )
27,27038	0,09766
27,31699	0,09278
27,27038	0,09766
27,31699	0,09278
27,31699	0,09766
27,31699	0,09278
27,27038	0,09766
27,31699	0,09766
27,27038	0,09766
27,31699	0,09766
27,27038	0,09766
27,31699	0,09766
27,27038	0,09766
27,31699	0,09766
27,27038	0,10254
27,31699	0,10254
27,31699	0,10254
27,31699	0,09766
27,27038	0,09766
27,31699	0,10254
27,27038	0,09766
27,31699	0,09766
27,27038	0,10254
27,31699	0,09766
27,27038	0,10254
27,31699	0,09766
27,27038	0,10254
27,31699	0,09766
27,27038	0,09766
27,31699	0,09766
27,27038	0,09766
27,31699	0,09766
27,27038	0,10254
27,31699	0,10254
27,27038	0,09766
27,31699	0,10254
27,27038	0,10254
27,31699	0,09766
27,27038	0,10254
27,31699	0,10743
27,27038	0,10254
27,31699	0,09766
27,27038	0,10254
27,31699	0,10254
27,27038	0,10254
27,31699	0,10743
27,27038	0,10254
27,31699	0,10254
27,27038	0,10254
27,31699	0,10743
27,27038	0,10254
27,31699	0,10743
27,31699	0,10743
27,31699	0,10743
27,27038	0,10254
27,31699	0,10743
27,27038	0,10254
27,31699	0,10743
27,27038	0,10254
27,31699	0,10743
27,27038	0,10743
27,31699	0,10743
27,31699	0,10743
27,31699	0,11719
27,31699	0,10743
27,31699	0,11719
27,27038	0,10743
27,31699	0,11719
27,27038	0,10743
27,31699	0,11719
27,27038	0,10743
27,31699	0,11719
27,27038	0,11231
27,31699	0,11719
27,27038	0,11231
27,31699	0,11719
27,27038	0,11231
27,31699	0,11719
27,27038	0,11231
27,31699	0,11719
27,27038	0,11231
27,31699	0,11719
27,27038	0,11231
27,31699	0,11719
27,31699	0,11231
27,31699	0,11719
27,27038	0,11231
27,31699	0,11719
27,27038	0,11719
27,31699	0,11719
27,27038	0,11719
27,31699	0,11719
27,27038	0,11231
27,31699	0,11719
27,27038	0,11719
27,31699	0,11719
27,27038	0,11719
27,31699	0,11719
27,27038	0,11719
27,31699	0,11719
27,27038	0,12207
27,31699	0,12207
27,27038	0,12207
27,31699	0,12207
27,27038	0,12207
27,31699	0,12207
27,27038	0,12207
27,31699	0,12207
27,27038	0,12207
27,31699	0,12207
27,27038	0,12696
27,31699	0,12696
27,27038	0,12207
27,31699	0,12696
27,27038	0,12696
27,31699	0,12696
27,31699	0,12207
27,31699	0,12696
27,27038	0,12696
27,31699	0,12696
27,27038	0,13672
27,31699	0,12696
27,31699	0,12696
27,31699	0,13184
27,27038	0,12696
27,31699	0,12696
27,27038	0,13672
27,31699	0,13184
27,27038	0,13672
27,31699	0,13184
27,27038	0,13672
27,31699	0,13184
27,31699	0,13672
27,31699	0,13184
27,27038	0,13672
27,31699	0,13672
27,27038	0,13672
27,31699	0,13184
27,27038	0,13672
27,31699	0,13672
27,27038	0,13672
27,31699	0,13672
27,27038	0,13672
27,31699	0,13184
27,27038	0,13672
27,31699	0,13672
27,27038	0,13672
27,31699	0,13672
27,27038	0,13672
27,31699	0,14161
27,27038	0,14161
27,31699	0,14161
27,27038	0,14161
27,31699	0,14161
27,27038	0,14161
27,31699	0,14161
27,27038	0,14161
27,31699	0,14649
27,27038	0,14649
27,31699	0,14649
27,27038	0,14649
27,31699	0,14161
27,27038	0,14161
27,31699	0,14649
27,27038	0,14649
27,31699	0,14649
27,27038	0,14649
27,31699	0,15625
27,27038	0,14649
27,31699	0,15625
27,27038	0,15625
27,31699	0,15625
27,27038	0,15625
27,31699	0,15625
27,27038	0,15625
27,31699	0,15625
27,27038	0,15625
27,31699	0,15625
27,31699	0,15625
27,31699	0,15625
27,31699	0,15625
27,31699	0,15625
27,27038	0,15625
27,31699	0,15625
27,27038	0,16114
27,31699	0,15625
27,27038	0,16114
27,31699	0,15625
27,27038	0,16114
27,31699	0,16114
27,27038	0,16114
27,31699	0,15625
27,27038	0,16114
27,31699	0,16602
27,27038	0,16114
27,31699	0,16602
27,27038	0,16602
27,31699	0,16602
27,27038	0,17579
27,31699	0,16602
27,27038	0,17579
27,31699	0,17090
27,27038	0,17579
27,31699	0,16602
27,27038	0,17579
27,31699	0,17090
27,27038	0,17579
27,31699	0,17090
27,27038	0,17579
27,31699	0,17579
27,27038	0,17579
27,31699	0,17579
27,27038	0,17579
27,31699	0,17579
27,27038	0,17579
27,31699	0,18067
27,31699	0,18067
27,31699	0,18067
27,27038	0,18067
27,31699	0,18067
27,31699	0,18555
27,31699	0,18555
27,27038	0,18555
27,31699	0,18555
27,27038	0,18555
27,31699	0,18555
27,27038	0,18555
27,31699	0,19532
27,31699	0,19044
27,31699	0,19532
27,27038	0,19044
27,31699	0,19532
27,27038	0,19044
27,31699	0,19532
27,27038	0,19532
27,31699	0,19532
27,27038	0,19532
27,31699	0,19532
27,27038	0,19532
27,31699	0,19532
27,27038	0,20020
27,31699	0,20020
27,27038	0,20020
27,31699	0,20020
27,31699	0,20508
27,31699	0,20508
27,27038	0,20508
27,31699	0,20508
27,27038	0,21485
27,31699	0,20508
27,27038	0,20997
27,31699	0,20997
27,27038	0,21485
27,31699	0,20997
27,31699	0,21485
27,31699	0,20997
27,27038	0,21485
27,31699	0,21485
27,27038	0,21485
27,31699	0,20997
27,27038	0,21485
27,31699	0,21973
27,27038	0,21973
27,31699	0,21485
27,27038	0,21973
27,31699	0,22462
27,27038	0,21973
27,31699	0,21973
27,27038	0,21973
27,31699	0,22462
27,27038	0,22462
27,31699	0,22462
27,27038	0,22462
27,31699	0,22462
27,27038	0,22462
27,31699	0,22950
27,27038	0,23438
27,31699	0,22950
27,27038	0,23438
27,31699	0,23438
27,27038	0,23438
27,31699	0,23438
27,27038	0,23438
27,31699	0,23438
27,27038	0,23438
27,31699	0,23438
27,27038	0,23438
27,31699	0,23927
27,31699	0,23927
27,31699	0,23927
27,27038	0,23927
27,31699	0,23927
27,27038	0,23927
27,31699	0,24415
27,27038	0,23927
27,31699	0,24415
27,27038	0,24415
27,31699	0,24903
27,27038	0,25391
27,31699	0,24415
27,27038	0,24903
27,31699	0,24903
27,27038	0,25391
27,31699	0,24903
27,27038	0,25391
27,31699	0,25391
27,27038	0,25391
27,31699	0,24903
27,27038	0,25391
27,31699	0,25391
27,27038	0,25880
27,31699	0,25391
27,27038	0,25880
27,31699	0,26368
27,27038	0,25391
27,31699	0,25880
27,27038	0,26368
27,31699	0,26368
27,31699	0,25880
27,31699	0,27345
27,27038	0,26368
27,31699	0,26368
27,27038	0,26856
27,31699	0,27345
27,27038	0,26856
27,31699	0,27345
27,27038	0,26856
27,31699	0,27345
27,27038	0,27345
27,31699	0,27345
27,31699	0,27345
27,31699	0,27345
27,31699	0,27345
27,31699	0,27345
27,27038	0,27833
27,31699	0,27345
27,27038	0,27833
27,31699	0,27833
27,27038	0,27833
27,31699	0,27833
27,31699	0,28321
27,31699	0,27833
27,27038	0,28321
27,31699	0,28321
27,27038	0,28321
27,31699	0,28321
27,27038	0,29298
27,31699	0,28321
27,27038	0,29298
27,31699	0,28809
27,27038	0,29298
27,31699	0,28809
27,27038	0,29298
27,31699	0,29298
27,27038	0,29298
27,31699	0,29298
27,27038	0,29298
27,31699	0,29786
27,31699	0,29298
27,31699	0,29786
27,31699	0,29786
27,31699	0,29786
27,27038	0,30274
27,31699	0,29786
27,27038	0,30274
27,31699	0,31251
27,27038	0,30274
27,31699	0,31251
27,31699	0,30274
27,31699	0,31251
27,31699	0,31251
27,31699	0,31251
27,31699	0,31251
27,31699	0,31251
27,31699	0,31251
27,31699	0,31251
27,27038	0,31251
27,31699	0,31251
27,27038	0,31251
27,31699	0,31251
27,27038	0,31739
27,31699	0,31739
27,27038	0,31739
27,31699	0,32228
27,31699	0,31739
27,31699	0,32228
27,27038	0,31739
27,31699	0,32228
27,27038	0,33204
27,31699	0,32228
27,27038	0,33204
27,31699	0,32716
27,27038	0,33204
27,31699	0,33204
27,27038	0,33204
27,31699	0,33204
27,27038	0,33204
27,31699	0,33204
27,31699	0,33204
27,31699	0,33204
27,31699	0,33692
27,31699	0,33692
27,27038	0,34181
27,31699	0,34181
27,31699	0,33692
27,31699	0,34181
27,27038	0,34181
27,31699	0,34181
27,27038	0,34181
27,31699	0,35157
27,31699	0,34669
27,31699	0,35157
27,31699	0,34669
27,31699	0,35157
27,31699	0,35157
27,31699	0,35157
27,31699	0,35157
27,31699	0,35157
27,31699	0,35157
27,31699	0,35157
27,31699	0,35157
27,31699	0,35646
27,27038	0,35646
27,31699	0,35646
27,27038	0,35646
27,31699	0,36134
27,27038	0,36134
27,31699	0,36134
27,27038	0,37111
27,31699	0,36134
27,31699	0,37111
27,31699	0,36622
27,27038	0,37111
27,31699	0,36622
27,27038	0,37111
27,31699	0,37111
27,31699	0,37111
27,31699	0,37111
27,31699	0,37599
27,31699	0,37599
27,27038	0,37599
27,31699	0,38087
27,31699	0,37599
27,31699	0,38087
27,27038	0,38087
27,31699	0,38087
27,27038	0,38087
27,31699	0,38575
27,31699	0,39064
27,31699	0,38575
27,27038	0,39064
27,31699	0,38575
27,31699	0,39064
27,31699	0,39064
27,31699	0,39064
27,31699	0,39064
27,31699	0,39064
27,31699	0,39064
27,27038	0,39552
27,31699	0,39552
27,27038	0,39552
27,31699	0,39552
27,27038	0,39552
27,31699	0,40040
27,27038	0,40040
27,31699	0,40040
27,27038	0,41017
27,31699	0,40529
27,27038	0,41017
27,31699	0,40529
27,31699	0,41017
27,31699	0,41017
27,31699	0,41017
27,31699	0,41017
27,27038	0,41505
27,31699	0,41017
27,31699	0,41505
27,31699	0,41017
27,31699	0,41505
27,31699	0,41505
27,31699	0,41993
27,31699	0,41993
27,27038	0,41993
27,31699	0,41993
27,31699	0,41993
27,31699	0,42970
27,31699	0,42482
27,31699	0,42970
27,31699	0,42970
27,31699	0,42970
27,31699	0,42970
27,31699	0,42970
27,31699	0,42970
27,31699	0,42970
27,27038	0,43458
27,31699	0,43458
27,27038	0,43458
27,31699	0,43458
27,27038	0,43458
27,31699	0,43947
27,31699	0,44923
27,31699	0,43947
27,31699	0,44923
27,31699	0,43947
27,31699	0,44923
27,31699	0,44435
27,31699	0,44923
27,31699	0,44435
27,31699	0,44923
27,31699	0,44435
27,31699	0,44923
27,41032	0,44923
27,31699	0,44923
27,36364	0,45412
27,31699	0,45412
27,31699	0,45900
27,31699	0,45412
27,31699	0,45900
27,31699	0,45900
27,41032	0,45900
27,31699	0,45900
27,41032	0,46876
27,31699	0,46876
27,31699	0,46876
27,31699	0,46876
27,41032	0,46876
27,31699	0,46876
27,41032	0,46876
27,27038	0,46876
27,31699	0,46876
27,31699	0,47365
27,31699	0,47365
27,31699	0,47365
27,31699	0,47853
27,31699	0,47853
27,31699	0,47853
27,31699	0,47853
27,31699	0,47853
27,31699	0,48830
27,31699	0,47853
27,31699	0,48830
27,31699	0,48341
27,31699	0,48830
27,31699	0,48830
27,31699	0,48830
27,31699	0,48830
27,31699	0,49318
27,41032	0,48830
27,31699	0,49318
27,31699	0,49318
27,31699	0,49318
27,31699	0,49806
27,31699	0,49806
27,41032	0,50783
27,31699	0,49806
27,31699	0,50783
27,31699	0,50295
27,41032	0,50783
27,31699	0,50295
27,31699	0,50783
27,31699	0,50783
27,41032	0,50783
27,31699	0,50783
27,41032	0,50783
27,27038	0,51271
27,41032	0,51271
27,31699	0,51759
27,41032	0,51759
27,31699	0,51759
27,41032	0,51759
27,31699	0,52736
27,41032	0,51759
27,31699	0,52736
27,41032	0,52248
27,31699	0,52736
27,31699	0,52248
27,31699	0,52736
27,31699	0,52248
27,31699	0,53224
27,41032	0,52736
27,31699	0,53224
27,31699	0,53224
27,31699	0,53224
27,31699	0,53713
27,31699	0,53713
27,41032	0,53713
27,31699	0,53713
27,41032	0,53713
27,31699	0,53713
27,41032	0,54201
27,31699	0,54689
27,41032	0,54689
27,27038	0,54689
27,41032	0,54689
27,31699	0,54689
27,41032	0,54689
27,31699	0,54689
27,41032	0,54689
27,31699	0,55177
27,31699	0,54689
27,31699	0,55177
27,31699	0,55666
27,36364	0,55666
27,41032	0,55177
27,31699	0,56642
27,41032	0,55666
27,31699	0,56642
27,41032	0,55666
27,31699	0,56642
27,41032	0,55666
27,31699	0,56642
27,41032	0,56154
27,31699	0,56642
27,41032	0,56642
27,31699	0,56642
27,31699	0,57131
27,31699	0,57131
27,45703	0,57131
27,31699	0,57131
27,45703	0,57131
27,31699	0,57131
27,41032	0,57131
27,31699	0,57619
27,41032	0,57619
27,31699	0,58107
27,41032	0,58596
27,31699	0,58107
27,41032	0,58596
27,31699	0,58596
27,41032	0,58596
27,31699	0,58596
27,45703	0,58596
27,31699	0,58596
27,41032	0,58596
27,36364	0,59084
27,45703	0,58596
27,36364	0,59084
27,41032	0,59084
27,31699	0,59084
27,41032	0,59572
27,36364	0,59572
27,45703	0,59572
27,36364	0,59572
27,31699	0,59572
27,36364	0,60060
27,41032	0,59572
27,31699	0,60549
27,45703	0,60060
27,31699	0,60549
27,41032	0,60060
27,41032	0,60549
27,41032	0,60549
27,36364	0,60549
27,41032	0,60549
27,36364	0,61037
27,41032	0,61037
27,31699	0,61525
27,41032	0,61037
27,31699	0,62502
27,41032	0,61525
27,31699	0,62502
27,45703	0,62502
27,31699	0,62502
27,41032	0,62502
27,36364	0,62502
27,45703	0,62502
27,36364	0,62502
27,41032	0,62502
27,41032	0,62502
27,45703	0,62502
27,36364	0,62990
27,45703	0,62502
27,31699	0,62990
27,45703	0,62502
27,31699	0,62990
27,41032	0,62990
27,31699	0,64455
27,45703	0,62990
27,36364	0,64455
27,45703	0,63478
27,31699	0,64455
27,45703	0,63478
27,41032	0,64455
27,41032	0,63967
27,36364	0,64455
27,45703	0,63967
27,36364	0,64455
27,41032	0,64455
27,36364	0,64455
27,41032	0,64943
27,36364	0,64943
27,50376	0,64943
27,36364	0,64943
27,45703	0,64943
27,36364	0,64943
27,50376	0,65432
27,31699	0,65432
27,45703	0,66408
27,41032	0,65432
27,50376	0,66408
27,41032	0,65920
27,50376	0,66408
27,41032	0,66408
27,45703	0,66408
27,41032	0,66408
27,45703	0,66408
27,45703	0,66897
27,50376	0,66408
27,41032	0,66897
27,45703	0,66897
27,41032	0,66897
27,50376	0,67385
27,45703	0,66897
27,45703	0,67385
27,41032	0,67385
27,45703	0,67385
27,41032	0,68361
27,50376	0,67385
27,36364	0,68361
27,50376	0,67873
27,36364	0,68361
27,45703	0,67873
27,36364	0,68361
27,50376	0,68361
27,45703	0,68850
27,50376	0,68361
27,31699	0,68850
27,50376	0,68850
27,45703	0,68850
27,45703	0,69338
27,41032	0,69338
27,50376	0,69338
27,36364	0,69338
27,50376	0,69826
27,36364	0,70315
27,50376	0,70315
27,41032	0,70315
27,50376	0,70315
27,41032	0,70315
27,50376	0,70315
27,36364	0,70315
27,50376	0,70803
27,36364	0,70803
27,50376	0,70803
27,41032	0,70803
27,50376	0,71291
27,41032	0,71291
27,50376	0,71291
27,45703	0,71291
27,45703	0,71291
27,45703	0,72268
27,50376	0,71291
27,41032	0,72268
27,50376	0,71780
27,36364	0,72268
27,50376	0,72268
27,45703	0,72268
27,45703	0,72268
27,45703	0,72756
27,50376	0,72756
27,45703	0,72756
27,50376	0,72756
27,41032	0,73244
27,50376	0,74221
27,45703	0,73244
27,50376	0,74221
27,45703	0,73733
27,50376	0,74221
27,41032	0,74221
27,50376	0,74221
27,36364	0,74221
27,50376	0,74221
27,41032	0,74221
27,50376	0,74709
27,45703	0,74221
27,50376	0,74709
27,45703	0,74709
27,50376	0,74709
27,45703	0,74709
27,50376	0,75198
27,45703	0,76174
27,50376	0,75198
27,45703	0,76174
27,50376	0,75686
27,45703	0,76174
27,50376	0,76174
27,45703	0,76174
27,50376	0,76174
27,45703	0,76174
27,50376	0,76662
27,45703	0,76662
27,50376	0,76662
27,45703	0,77151
27,50376	0,77151
27,45703	0,77151
27,50376	0,77151
27,45703	0,77151
27,50376	0,77151
27,45703	0,78127
27,50376	0,78127
27,45703	0,77639
27,50376	0,78127
27,45703	0,78127
27,55053	0,78127
27,45703	0,78127
27,55053	0,78616
27,45703	0,78616
27,55053	0,78616
27,45703	0,78616
27,50376	0,78616
27,45703	0,78616
27,50376	0,79104
27,45703	0,80081
27,59733	0,79592
27,45703	0,80081
27,50376	0,79592
27,45703	0,80081
27,50376	0,79592
27,45703	0,80081
27,50376	0,80081
27,45703	0,80569
27,55053	0,80569
27,45703	0,80569
27,50376	0,80569
27,45703	0,80569
27,50376	0,81057
27,45703	0,81057
27,55053	0,81057
27,45703	0,81057
27,55053	0,82034
27,45703	0,81545
27,55053	0,82034
27,45703	0,81545
27,50376	0,82034
27,45703	0,82034
27,50376	0,82034
27,50376	0,82034
27,59733	0,82522
27,45703	0,82522
27,50376	0,82522
27,45703	0,83010
27,50376	0,83010
27,45703	0,83010
27,59733	0,83010
27,45703	0,83987
27,59733	0,83499
27,50376	0,83987
27,50376	0,83499
27,45703	0,83987
27,50376	0,83499
27,45703	0,83987
27,50376	0,83987
27,50376	0,84475
27,50376	0,83987
27,50376	0,84475
27,59733	0,84475
27,45703	0,84475
27,59733	0,84964
27,45703	0,84964
27,59733	0,84964
27,50376	0,84964
27,59733	0,85452
27,50376	0,85940
27,55053	0,85452
27,55053	0,85940
27,59733	0,85940
27,50376	0,85940
27,59733	0,85940
27,50376	0,85940
27,59733	0,85940
27,50376	0,86428
27,59733	0,86428
27,50376	0,86428
27,59733	0,86917
27,50376	0,86917
27,55053	0,86917
27,50376	0,86917
27,59733	0,86917
27,50376	0,87405
27,59733	0,87405
27,50376	0,87893
27,59733	0,87405
27,45703	0,87893
27,59733	0,87893
27,50376	0,87893
27,59733	0,87893
27,50376	0,87893
27,59733	0,87893
27,55053	0,88382
27,59733	0,88382
27,50376	0,88382
27,59733	0,88382
27,50376	0,88870
27,59733	0,89846
27,50376	0,88870
27,59733	0,89846
27,55053	0,89846
27,59733	0,89846
27,50376	0,89846
27,59733	0,89846
27,50376	0,89846
27,59733	0,89846
27,55053	0,89846
27,59733	0,89846
27,50376	0,90335
27,59733	0,90335
27,55053	0,90335
27,59733	0,90823
27,55053	0,90823
27,59733	0,90823
27,55053	0,90823
27,64416	0,90823
27,50376	0,90823
27,59733	0,91311
27,55053	0,91800
27,59733	0,91311
27,55053	0,91800
27,59733	0,91311
27,55053	0,91800
27,59733	0,92288
27,55053	0,91800
27,64416	0,91800
27,55053	0,92288
27,64416	0,92288
27,55053	0,92288
27,64416	0,93753
27,55053	0,92288
27,64416	0,93753
27,55053	0,92288
27,64416	0,93753
27,50376	0,93265
27,59733	0,93753
27,50376	0,93753
27,64416	0,93753
27,55053	0,93753
27,64416	0,93753
27,55053	0,93753
27,64416	0,93753
27,59733	0,93753
27,64416	0,93753
27,55053	0,94241
27,64416	0,94241
27,55053	0,94241
27,59733	0,94241
27,55053	0,94241
27,64416	0,94241
27,55053	0,94729
27,59733	0,94729
27,55053	0,94729
27,64416	0,95218
27,55053	0,95706
27,64416	0,95218
27,59733	0,95706
27,59733	0,95706
27,55053	0,95706
27,59733	0,95706
27,55053	0,95706
27,64416	0,96194
27,55053	0,96194
27,64416	0,96194
27,59733	0,96194
27,64416	0,96194
27,59733	0,96683
27,64416	0,96683
27,59733	0,96683
27,64416	0,97659
27,59733	0,96683
27,69102	0,97659
27,59733	0,97659
27,69102	0,97659
27,59733	0,97171
27,64416	0,97659
27,64416	0,97659
27,69102	0,97659
27,64416	0,98148
27,69102	0,97659
27,59733	0,98148
27,64416	0,98148
27,59733	0,98148
27,64416	0,98636
27,59733	0,98148
27,69102	0,98636
27,55053	0,99612
27,69102	0,99124
27,59733	0,98636
27,69102	0,99124
27,55053	0,99612
27,69102	0,99124
27,55053	0,99612
27,69102	0,99612
27,59733	1,00101
27,69102	0,99612
27,59733	1,00101
27,69102	1,00101
27,59733	1,00101
27,69102	1,00101
27,64416	1,00589
27,69102	1,00589
27,64416	1,00589
27,69102	1,00589
27,64416	1,01566
27,69102	1,01077
27,55053	1,01566
27,69102	1,01566
27,64416	1,01566
27,69102	1,01566
27,64416	1,01566
27,69102	1,01566
27,64416	1,02054
27,69102	1,02054
27,64416	1,02054
27,69102	1,02054
27,64416	1,02054
27,69102	1,02542
27,64416	1,03519
27,64416	1,02542
27,64416	1,03519
27,69102	1,02542
27,64416	1,03519
27,69102	1,03030
27,64416	1,03519
27,69102	1,03519
27,64416	1,03519
27,69102	1,03519
27,64416	1,03519
27,69102	1,04007
27,64416	1,04007
27,69102	1,04495
27,64416	1,04495
27,69102	1,04007
27,64416	1,04495
27,69102	1,05472
27,64416	1,04984
27,69102	1,05472
27,64416	1,04984
27,69102	1,05472
27,64416	1,05472
27,69102	1,05472
27,64416	1,05472
27,69102	1,05472
27,64416	1,05960
27,69102	1,05960
27,64416	1,05960
27,69102	1,06449
27,64416	1,06449
27,69102	1,06449
27,64416	1,07425
27,69102	1,06937
27,64416	1,07425
27,69102	1,06937
27,64416	1,07425
27,69102	1,06937
27,64416	1,07425
27,69102	1,07425
27,69102	1,07913
27,69102	1,07913
27,64416	1,07913
27,69102	1,07913
27,64416	1,07913
27,69102	1,08402
27,69102	1,08402
27,69102	1,08402
27,64416	1,09378
27,69102	1,09378
27,69102	1,09378
27,69102	1,09378
27,69102	1,09378
27,69102	1,09378
27,69102	1,09378
27,69102	1,09378
27,64416	1,09867
27,69102	1,09378
27,64416	1,09867
27,69102	1,09378
