Temperatura. Can B ( C )	Posizione. Can 1 e 2 ( m )
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.73791	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.73791	0.00000
27.78483	0.00000
27.73791	0.00000
27.83178	0.00000
27.73791	0.00000
27.83178	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.73791	0.00000
27.83178	0.00000
27.73791	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.73791	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.87876	0.00000
27.73791	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.87876	0.00000
27.69102	0.00000
27.78483	0.00000
27.73791	0.00000
27.83178	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.83178	0.00000
27.73791	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.73791	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.73791	0.00000
27.83178	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.83178	0.00000
27.69102	0.00000
27.78483	0.00000
27.73791	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.73791	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.64416	0.00000
27.78483	0.00000
27.69102	0.00000
27.73791	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
27.69102	0.00000
27.64416	0.00000
27.78483	0.00000
27.69102	0.00000
27.78483	0.00000
27.69102	0.00000
