Temperatura. Can B ( C )	Pressione. Can A ( kPa )
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.57458	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.57458	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.12207
26.57458	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.57458	0.12207
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.57458	0.11719
26.57458	0.12207
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.12207
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.57458	0.11719
26.57458	0.11719
26.57458	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.57458	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.57458	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.57458	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.12207
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.57458	0.11719
26.57458	0.11719
26.57458	0.12207
26.57458	0.11719
26.57458	0.11719
26.57458	0.11719
26.52842	0.11719
26.57458	0.11719
26.52842	0.11719
