Posizione, Can 1 e 2, Raccolta #13
Tempo ( s )	Posizione ( m )
11,8000	-3,12500E-4
11,9000	-3,12500E-4
12,0000	-3,12500E-4
12,1000	-3,12500E-4
12,2000	-3,75000E-4
12,3000	-3,75000E-4
12,4000	-3,75000E-4
12,5000	-3,75000E-4
12,6000	-3,75000E-4
12,7000	-3,75000E-4
12,8000	-3,75000E-4
12,9000	-3,75000E-4
13,0000	-3,75000E-4
13,1000	-3,75000E-4
13,2000	-3,75000E-4
13,3000	-3,75000E-4
13,4000	-3,75000E-4
13,5000	-3,75000E-4
13,6000	-3,75000E-4
13,7000	-3,75000E-4
13,8000	-3,75000E-4
13,9000	-3,75000E-4
14,0000	-3,75000E-4
14,1000	-3,75000E-4
14,2000	-3,75000E-4
14,3000	-3,75000E-4
14,4000	-4,37500E-4
14,5000	-4,37500E-4
14,6000	-4,37500E-4
14,7000	-4,37500E-4
14,8000	-4,37500E-4
14,9000	-4,37500E-4
15,0000	-4,37500E-4
15,1000	-4,37500E-4
15,2000	-4,37500E-4
15,3000	-4,37500E-4
15,4000	-4,37500E-4
15,5000	-4,37500E-4
15,6000	-4,37500E-4
15,7000	-4,37500E-4
15,8000	-4,37500E-4
15,9000	-4,37500E-4
16,0000	-4,37500E-4
16,1000	-4,37500E-4
16,2000	-4,37500E-4
16,3000	-4,37500E-4
16,4000	-5,00000E-4
16,5000	-5,00000E-4
16,6000	-5,00000E-4
16,7000	-5,00000E-4
16,8000	-5,00000E-4
16,9000	-5,00000E-4
17,0000	-5,00000E-4
17,1000	-5,00000E-4
17,2000	-5,00000E-4
17,3000	-5,00000E-4
17,4000	-5,00000E-4
17,5000	-5,00000E-4
17,6000	-5,00000E-4
17,7000	-5,00000E-4
17,8000	-5,00000E-4
17,9000	-5,00000E-4
18,0000	-5,00000E-4
18,1000	-5,00000E-4
18,2000	-5,00000E-4
18,3000	-5,00000E-4
18,4000	-5,62500E-4
18,5000	-5,62500E-4
18,6000	-5,62500E-4
18,7000	-5,62500E-4
18,8000	-5,62500E-4
18,9000	-5,62500E-4
19,0000	-5,62500E-4
19,1000	-5,62500E-4
19,2000	-5,62500E-4
19,3000	-5,62500E-4
19,4000	-5,62500E-4
19,5000	-5,62500E-4
19,6000	-5,62500E-4
19,7000	-5,62500E-4
19,8000	-5,62500E-4
19,9000	-5,62500E-4
20,0000	-5,62500E-4
20,1000	-5,62500E-4
20,2000	-5,62500E-4
20,3000	-6,25000E-4
20,4000	-6,25000E-4
20,5000	-6,25000E-4
20,6000	-6,25000E-4
20,7000	-6,25000E-4
20,8000	-6,25000E-4
20,9000	-6,25000E-4
21,0000	-6,25000E-4
21,1000	-6,25000E-4
21,2000	-6,25000E-4
21,3000	-6,25000E-4
21,4000	-6,25000E-4
21,5000	-6,25000E-4
21,6000	-6,25000E-4
21,7000	-6,25000E-4
21,8000	-6,25000E-4
21,9000	-6,25000E-4
22,0000	-6,25000E-4
22,1000	-6,25000E-4
22,2000	-6,25000E-4
22,3000	-6,25000E-4
22,4000	-6,87500E-4
22,5000	-6,87500E-4
22,6000	-6,87500E-4
22,7000	-6,87500E-4
22,8000	-6,87500E-4
22,9000	-6,87500E-4
23,0000	-6,87500E-4
23,1000	-6,87500E-4
23,2000	-6,87500E-4
23,3000	-6,87500E-4
23,4000	-6,87500E-4
23,5000	-6,87500E-4
23,6000	-6,87500E-4
23,7000	-6,87500E-4
23,8000	-6,87500E-4
23,9000	-6,87500E-4
24,0000	-6,87500E-4
24,1000	-7,50000E-4
24,2000	-7,50000E-4
24,3000	-7,50000E-4
24,4000	-7,50000E-4
24,5000	-7,50000E-4
24,6000	-7,50000E-4
24,7000	-7,50000E-4
24,8000	-7,50000E-4
24,9000	-7,50000E-4
25,0000	-7,50000E-4
25,1000	-7,50000E-4
25,2000	-7,50000E-4
25,3000	-7,50000E-4
25,4000	-7,50000E-4
25,5000	-7,50000E-4
25,6000	-7,50000E-4
25,7000	-7,50000E-4
25,8000	-7,50000E-4
25,9000	-7,50000E-4
26,0000	-7,50000E-4
26,1000	-7,50000E-4
26,2000	-8,12500E-4
26,3000	-8,12500E-4
26,4000	-8,12500E-4
26,5000	-8,12500E-4
26,6000	-8,12500E-4
26,7000	-8,12500E-4
