Temperatura, Can B, Raccolta #2
Tempo ( s )	Temperatura ( °C )
31,6000	51,88027
31,7000	52,03978
31,8000	52,03978
31,9000	52,03978
32,0000	51,88027
32,1000	51,88027
32,2000	51,88027
32,3000	51,88027
32,4000	51,88027
32,5000	51,80078
32,6000	51,72147
32,7000	51,88027
32,8000	51,72147
32,9000	51,80078
33,0000	51,72147
33,1000	51,80078
33,2000	51,72147
33,3000	51,72147
33,4000	51,56336
33,5000	51,56336
33,6000	51,56336
33,7000	51,56336
33,8000	51,48456
33,9000	51,56336
34,0000	51,56336
34,1000	51,56336
34,2000	51,40594
34,3000	51,48456
34,4000	51,40594
34,5000	51,40594
34,6000	51,40594
34,7000	51,40594
34,8000	51,24920
34,9000	51,32748
35,0000	51,24920
35,1000	51,24920
35,2000	51,24920
35,3000	51,24920
35,4000	51,24920
35,5000	51,24920
35,6000	51,09313
35,7000	51,17108
35,8000	51,09313
35,9000	51,17108
36,0000	51,09313
36,1000	51,09313
36,2000	50,93773
36,3000	51,09313
36,4000	50,93773
36,5000	50,93773
36,6000	50,93773
36,7000	50,93773
36,8000	50,78299
36,9000	50,93773
37,0000	50,78299
37,1000	50,86027
37,2000	50,62889
37,3000	50,86027
37,4000	50,62889
37,5000	50,78299
37,6000	50,62889
37,7000	50,70586
37,8000	50,62889
37,9000	50,70586
38,0000	50,62889
38,1000	50,62889
38,2000	50,55209
38,3000	50,62889
38,4000	50,47545
38,5000	50,55209
38,6000	50,47545
38,7000	50,55209
38,8000	50,47545
38,9000	50,55209
39,0000	50,32264
39,1000	50,39897
39,2000	50,32264
39,3000	50,32264
39,4000	50,32264
39,5000	50,32264
39,6000	50,17047
39,7000	50,32264
39,8000	50,17047
39,9000	50,24648
40,0000	50,01892
40,1000	50,17047
40,2000	50,01892
40,3000	50,01892
40,4000	50,01892
40,5000	50,01892
40,6000	50,01892
40,7000	50,01892
40,8000	50,01892
40,9000	49,94338
41,0000	49,86799
41,1000	49,94338
41,2000	49,86799
41,3000	49,86799
41,4000	49,86799
41,5000	49,86799
41,6000	49,71768
41,7000	49,86799
41,8000	49,71768
41,9000	49,71768
42,0000	49,71768
42,1000	49,71768
42,2000	49,56797
42,3000	49,64275
42,4000	49,64275
42,5000	49,64275
42,6000	49,41886
42,7000	49,56797
42,8000	49,41886
42,9000	49,56797
43,0000	49,41886
43,1000	49,49334
43,2000	49,41886
43,3000	49,41886
43,4000	49,41886
43,5000	49,41886
43,6000	49,34453
43,7000	49,34453
43,8000	49,27035
43,9000	49,27035
44,0000	49,27035
44,1000	49,27035
44,2000	49,19631
44,3000	49,19631
44,4000	49,12243
44,5000	49,12243
44,6000	49,12243
44,7000	49,12243
44,8000	49,04868
44,9000	49,04868
45,0000	48,97509
45,1000	49,04868
45,2000	48,82832
45,3000	48,90163
45,4000	48,82832
45,5000	48,82832
45,6000	48,82832
45,7000	48,82832
45,8000	48,82832
45,9000	48,82832
46,0000	48,68213
46,1000	48,75516
46,2000	48,68213
46,3000	48,68213
46,4000	48,53651
46,5000	48,68213
46,6000	48,53651
46,7000	48,53651
46,8000	48,53651
46,9000	48,53651
47,0000	48,53651
47,1000	48,53651
47,2000	48,39144
47,3000	48,46390
47,4000	48,39144
47,5000	48,46390
47,6000	48,39144
47,7000	48,39144
47,8000	48,24693
47,9000	48,24693
48,0000	48,24693
48,1000	48,24693
48,2000	48,24693
48,3000	48,24693
48,4000	48,24693
48,5000	48,17488
48,6000	48,10297
48,7000	48,17488
48,8000	48,10297
48,9000	48,17488
49,0000	48,10297
49,1000	48,03120
49,2000	48,03120
49,3000	48,10297
49,4000	47,95956
49,5000	47,95956
49,6000	47,95956
49,7000	47,95956
49,8000	47,95956
49,9000	47,95956
50,0000	47,81668
50,1000	47,88805
50,2000	47,81668
50,3000	47,81668
50,4000	47,67434
50,5000	47,67434
50,6000	47,67434
50,7000	47,81668
50,8000	47,67434
50,9000	47,60336
51,0000	47,67434
51,1000	47,67434
51,2000	47,53252
51,3000	47,60336
51,4000	47,53252
51,5000	47,60336
51,6000	47,53252
51,7000	47,53252
51,8000	47,39123
51,9000	47,39123
52,0000	47,39123
52,1000	47,39123
52,2000	47,39123
52,3000	47,39123
52,4000	47,39123
52,5000	47,39123
52,6000	47,25046
52,7000	47,32078
52,8000	47,25046
52,9000	47,25046
53,0000	47,11020
53,1000	47,25046
53,2000	47,11020
53,3000	47,18027
53,4000	47,11020
53,5000	47,11020
53,6000	47,11020
53,7000	47,11020
53,8000	46,97045
53,9000	47,04027
54,0000	46,97045
54,1000	47,04027
54,2000	46,97045
54,3000	46,97045
54,4000	46,97045
54,5000	46,97045
54,6000	46,83121
54,7000	46,97045
54,8000	46,83121
54,9000	46,83121
55,0000	46,83121
55,1000	46,83121
55,2000	46,83121
55,3000	46,83121
55,4000	46,69246
55,5000	46,76177
55,6000	46,69246
55,7000	46,76177
55,8000	46,55421
55,9000	46,69246
56,0000	46,55421
56,1000	46,69246
56,2000	46,55421
56,3000	46,62328
56,4000	46,55421
56,5000	46,55421
56,6000	46,55421
56,7000	46,48527
56,8000	46,41645
56,9000	46,48527
57,0000	46,41645
57,1000	46,41645
57,2000	46,27918
57,3000	46,41645
57,4000	46,27918
57,5000	46,27918
57,6000	46,27918
57,7000	46,27918
57,8000	46,27918
57,9000	46,27918
58,0000	46,21072
58,1000	46,27918
58,2000	46,27918
58,3000	46,27918
58,4000	46,14238
58,5000	46,14238
58,6000	46,14238
58,7000	46,14238
58,8000	46,00607
58,9000	46,07417
59,0000	46,00607
59,1000	46,07417
59,2000	46,00607
59,3000	46,00607
59,4000	46,00607
59,5000	45,93808
59,6000	45,87022
59,7000	46,00607
59,8000	45,87022
59,9000	45,93808
60,0000	45,87022
60,1000	45,87022
60,2000	45,73484
60,3000	45,87022
60,4000	45,73484
60,5000	45,73484
60,6000	45,73484
60,7000	45,73484
60,8000	45,73484
60,9000	45,73484
61,0000	45,66733
61,1000	45,66733
61,2000	45,59993
61,3000	45,73484
61,4000	45,46548
61,5000	45,53265
61,6000	45,46548
61,7000	45,53265
61,8000	45,46548
61,9000	45,53265
62,0000	45,46548
62,1000	45,46548
62,2000	45,46548
62,3000	45,46548
62,4000	45,33148
62,5000	45,46548
62,6000	45,33148
62,7000	45,39842
62,8000	45,33148
62,9000	45,33148
63,0000	45,19793
63,1000	45,19793
63,2000	45,19793
63,3000	45,19793
63,4000	45,19793
63,5000	45,19793
63,6000	45,13132
63,7000	45,13132
63,8000	45,06483
63,9000	45,13132
64,0000	45,06483
64,1000	45,06483
64,2000	44,93217
