Temperatura, Can B, Raccolta #2
Tempo ( s )	Temperatura ( °C )
138,0000	35,36033
138,1000	35,41373
138,2000	35,36033
138,3000	35,41373
138,4000	35,36033
138,5000	35,30698
138,6000	35,36033
138,7000	35,36033
138,8000	35,25369
138,9000	35,36033
139,0000	35,30698
139,1000	35,30698
139,2000	35,25369
139,3000	35,30698
139,4000	35,25369
139,5000	35,25369
139,6000	35,25369
139,7000	35,25369
139,8000	35,25369
139,9000	35,25369
140,0000	35,14727
140,1000	35,20045
140,2000	35,14727
140,3000	35,20045
140,4000	35,09414
140,5000	35,20045
140,6000	35,14727
140,7000	35,20045
140,8000	35,04107
140,9000	35,14727
141,0000	35,04107
141,1000	35,14727
141,2000	35,04107
141,3000	35,14727
141,4000	35,04107
141,5000	35,04107
141,6000	35,04107
141,7000	35,04107
141,8000	35,04107
141,9000	35,04107
142,0000	35,04107
142,1000	35,04107
142,2000	34,98806
142,3000	34,98806
142,4000	34,93510
142,5000	35,04107
142,6000	34,93510
142,7000	34,98806
142,8000	34,93510
142,9000	34,98806
143,0000	34,82934
143,1000	34,98806
143,2000	34,93510
143,3000	34,93510
143,4000	34,82934
143,5000	34,93510
143,6000	34,82934
143,7000	34,82934
143,8000	34,82934
143,9000	34,82934
144,0000	34,82934
144,1000	34,82934
144,2000	34,82934
144,3000	34,82934
144,4000	34,82934
144,5000	34,82934
144,6000	34,82934
144,7000	34,82934
144,8000	34,72380
144,9000	34,77654
145,0000	34,72380
145,1000	34,77654
145,2000	34,72380
145,3000	34,77654
145,4000	34,72380
145,5000	34,77654
145,6000	34,72380
145,7000	34,72380
145,8000	34,61847
145,9000	34,72380
146,0000	34,61847
146,1000	34,72380
146,2000	34,61847
146,3000	34,72380
146,4000	34,61847
146,5000	34,72380
146,6000	34,61847
146,7000	34,67110
146,8000	34,61847
146,9000	34,61847
147,0000	34,61847
147,1000	34,61847
147,2000	34,61847
147,3000	34,61847
147,4000	34,51335
147,5000	34,61847
147,6000	34,61847
147,7000	34,56588
147,8000	34,51335
147,9000	34,61847
148,0000	34,51335
148,1000	34,56588
148,2000	34,51335
148,3000	34,56588
148,4000	34,51335
148,5000	34,51335
148,6000	34,51335
148,7000	34,51335
148,8000	34,51335
148,9000	34,51335
149,0000	34,40844
149,1000	34,51335
149,2000	34,40844
149,3000	34,46087
149,4000	34,40844
149,5000	34,46087
149,6000	34,40844
149,7000	34,40844
149,8000	34,40844
149,9000	34,40844
150,0000	34,40844
150,1000	34,40844
150,2000	34,40844
150,3000	34,40844
150,4000	34,40844
150,5000	34,40844
150,6000	34,35607
150,7000	34,35607
150,8000	34,30375
150,9000	34,35607
151,0000	34,30375
151,1000	34,35607
151,2000	34,30375
151,3000	34,35607
151,4000	34,30375
151,5000	34,30375
151,6000	34,30375
151,7000	34,35607
151,8000	34,19926
151,9000	34,30375
152,0000	34,19926
152,1000	34,25148
152,2000	34,19926
152,3000	34,25148
152,4000	34,19926
152,5000	34,19926
152,6000	34,19926
152,7000	34,19926
152,8000	34,19926
152,9000	34,19926
153,0000	34,19926
153,1000	34,19926
153,2000	34,19926
153,3000	34,14709
153,4000	34,09498
153,5000	34,19926
153,6000	34,19926
153,7000	34,19926
153,8000	34,09498
153,9000	34,19926
154,0000	34,09498
154,1000	34,14709
154,2000	34,09498
154,3000	34,14709
154,4000	34,09498
154,5000	34,14709
154,6000	33,99090
154,7000	34,14709
154,8000	33,99090
154,9000	34,09498
155,0000	33,99090
155,1000	33,99090
155,2000	33,99090
155,3000	33,99090
155,4000	33,99090
155,5000	33,99090
155,6000	33,99090
155,7000	33,99090
155,8000	33,99090
155,9000	33,99090
156,0000	33,99090
156,1000	33,99090
156,2000	33,99090
156,3000	33,99090
156,4000	33,93894
156,5000	33,99090
156,6000	33,99090
156,7000	33,93894
156,8000	33,88703
156,9000	33,93894
157,0000	33,88703
157,1000	33,93894
157,2000	33,78335
157,3000	33,88703
157,4000	33,88703
157,5000	33,93894
157,6000	33,88703
157,7000	33,88703
157,8000	33,83517
157,9000	33,88703
158,0000	33,78335
158,1000	33,88703
158,2000	33,78335
158,3000	33,88703
158,4000	33,78335
158,5000	33,88703
158,6000	33,78335
158,7000	33,83517
158,8000	33,78335
158,9000	33,78335
159,0000	33,78335
159,1000	33,83517
159,2000	33,78335
159,3000	33,83517
159,4000	33,73159
159,5000	33,78335
159,6000	33,78335
159,7000	33,78335
159,8000	33,67988
159,9000	33,78335
160,0000	33,78335
160,1000	33,73159
160,2000	33,67988
160,3000	33,73159
160,4000	33,67988
160,5000	33,73159
160,6000	33,67988
160,7000	33,73159
160,8000	33,67988
160,9000	33,73159
161,0000	33,67988
161,1000	33,73159
161,2000	33,62822
161,3000	33,67988
161,4000	33,67988
161,5000	33,62822
161,6000	33,67988
161,7000	33,67988
161,8000	33,57661
161,9000	33,67988
162,0000	33,57661
162,1000	33,67988
162,2000	33,57661
162,3000	33,62822
162,4000	33,57661
162,5000	33,57661
162,6000	33,57661
162,7000	33,57661
162,8000	33,57661
162,9000	33,57661
163,0000	33,57661
163,1000	33,57661
163,2000	33,57661
163,3000	33,52504
163,4000	33,47353
163,5000	33,52504
163,6000	33,47353
163,7000	33,57661
163,8000	33,47353
163,9000	33,52504
164,0000	33,47353
164,1000	33,52504
164,2000	33,47353
164,3000	33,52504
164,4000	33,47353
164,5000	33,52504
164,6000	33,47353
164,7000	33,52504
164,8000	33,37064
164,9000	33,47353
165,0000	33,37064
165,1000	33,47353
165,2000	33,37064
165,3000	33,47353
165,4000	33,37064
165,5000	33,42206
165,6000	33,37064
165,7000	33,37064
165,8000	33,37064
165,9000	33,42206
166,0000	33,37064
166,1000	33,37064
166,2000	33,26795
166,3000	33,37064
166,4000	33,37064
166,5000	33,37064
166,6000	33,37064
166,7000	33,31927
166,8000	33,26795
166,9000	33,37064
167,0000	33,26795
167,1000	33,37064
167,2000	33,26795
167,3000	33,31927
167,4000	33,26795
167,5000	33,16546
167,6000	33,16546
167,7000	33,31927
167,8000	33,26795
167,9000	33,26795
168,0000	33,16546
168,1000	33,26795
168,2000	33,26795
168,3000	33,26795
168,4000	33,16546
168,5000	33,26795
168,6000	33,16546
168,7000	33,16546
168,8000	33,16546
168,9000	33,21668
169,0000	33,16546
169,1000	33,16546
169,2000	33,16546
169,3000	33,16546
169,4000	33,16546
169,5000	33,16546
169,6000	33,16546
169,7000	33,16546
169,8000	33,11428
169,9000	33,16546
170,0000	33,06315
170,1000	33,11428
170,2000	33,06315
170,3000	33,11428
170,4000	33,06315
170,5000	33,11428
170,6000	33,06315
170,7000	33,11428
170,8000	32,96103
170,9000	33,06315
171,0000	33,06315
171,1000	33,06315
171,2000	32,96103
171,3000	33,06315
171,4000	32,96103
171,5000	33,01207
171,6000	32,96103
171,7000	33,06315
171,8000	32,96103
171,9000	33,01207
172,0000	32,96103
172,1000	32,96103
172,2000	32,96103
172,3000	32,96103
172,4000	32,96103
172,5000	32,96103
172,6000	32,96103
172,7000	32,96103
172,8000	32,85910
172,9000	32,96103
173,0000	32,85910
173,1000	32,96103
173,2000	32,85910
173,3000	32,91005
173,4000	32,85910
173,5000	32,91005
173,6000	32,85910
173,7000	32,91005
173,8000	32,85910
173,9000	32,85910
174,0000	32,85910
174,1000	32,85910
174,2000	32,85910
174,3000	32,85910
174,4000	32,80821
174,5000	32,80821
174,6000	32,75736
174,7000	32,75736
174,8000	32,75736
174,9000	32,85910
175,0000	32,75736
175,1000	32,80821
175,2000	32,75736
175,3000	32,75736
175,4000	32,75736
175,5000	32,80821
175,6000	32,75736
175,7000	32,75736
175,8000	32,75736
175,9000	32,75736
176,0000	32,75736
176,1000	32,75736
176,2000	32,65580
176,3000	32,75736
176,4000	32,75736
176,5000	32,75736
176,6000	32,65580
176,7000	32,75736
176,8000	32,65580
176,9000	32,70656
177,0000	32,65580
177,1000	32,70656
177,2000	32,65580
177,3000	32,65580
177,4000	32,65580
177,5000	32,65580
177,6000	32,65580
177,7000	32,60509
177,8000	32,55443
177,9000	32,65580
178,0000	32,55443
178,1000	32,65580
178,2000	32,55443
178,3000	32,55443
178,4000	32,55443
178,5000	32,60509
178,6000	32,55443
178,7000	32,55443
178,8000	32,55443
178,9000	32,55443
179,0000	32,45324
179,1000	32,55443
179,2000	32,55443
179,3000	32,55443
179,4000	32,55443
179,5000	32,55443
179,6000	32,55443
179,7000	32,50381
179,8000	32,45324
179,9000	32,50381
180,0000	32,45324
180,1000	32,50381
180,2000	32,45324
180,3000	32,50381
180,4000	32,45324
180,5000	32,45324
180,6000	32,35223
180,7000	32,45324
180,8000	32,35223
180,9000	32,35223
181,0000	32,35223
181,1000	32,35223
181,2000	32,35223
181,3000	32,35223
181,4000	32,35223
181,5000	32,35223
181,6000	32,35223
181,7000	32,35223
181,8000	32,35223
181,9000	32,35223
182,0000	32,35223
182,1000	32,35223
182,2000	32,30179
182,3000	32,35223
182,4000	32,25139
182,5000	32,35223
182,6000	32,25139
182,7000	32,30179
182,8000	32,35223
182,9000	32,30179
183,0000	32,25139
183,1000	32,30179
183,2000	32,25139
183,3000	32,30179
183,4000	32,15074
183,5000	32,30179
183,6000	32,15074
183,7000	32,20104
183,8000	32,25139
183,9000	32,25139
184,0000	32,15074
184,1000	32,25139
184,2000	32,15074
184,3000	32,25139
184,4000	32,15074
184,5000	32,25139
184,6000	32,15074
184,7000	32,15074
184,8000	32,15074
184,9000	32,15074
185,0000	32,15074
185,1000	32,15074
185,2000	32,15074
185,3000	32,20104
185,4000	32,15074
185,5000	32,15074
185,6000	32,15074
185,7000	32,15074
185,8000	32,10048
185,9000	32,15074
186,0000	32,15074
186,1000	32,10048
186,2000	32,05026
186,3000	32,15074
186,4000	32,05026
186,5000	32,15074
186,6000	32,05026
186,7000	32,05026
186,8000	32,05026
186,9000	32,10048
187,0000	32,05026
187,1000	32,05026
187,2000	32,05026
187,3000	32,10048
187,4000	31,94996
187,5000	32,05026
187,6000	32,05026
187,7000	32,05026
187,8000	31,94996
187,9000	32,05026
188,0000	32,05026
188,1000	32,05026
188,2000	31,94996
188,3000	32,00009
188,4000	31,94996
188,5000	32,05026
188,6000	31,94996
188,7000	32,00009
188,8000	31,94996
188,9000	32,00009
189,0000	31,94996
189,1000	32,00009
189,2000	31,94996
189,3000	31,94996
189,4000	31,94996
189,5000	31,94996
189,6000	31,94996
189,7000	31,94996
189,8000	31,94996
189,9000	31,94996
190,0000	31,94996
190,1000	31,89987
190,2000	31,94996
190,3000	31,94996
190,4000	31,89987
190,5000	31,94996
190,6000	31,84983
190,7000	31,94996
190,8000	31,84983
190,9000	31,89987
191,0000	31,84983
191,1000	31,89987
191,2000	31,84983
191,3000	31,89987
191,4000	31,84983
191,5000	31,84983
191,6000	31,84983
191,7000	31,84983
191,8000	31,84983
191,9000	31,89987
192,0000	31,74988
192,1000	31,84983
192,2000	31,74988
192,3000	31,84983
192,4000	31,74988
192,5000	31,79983
192,6000	31,74988
192,7000	31,84983
192,8000	31,74988
192,9000	31,79983
193,0000	31,74988
193,1000	31,84983
193,2000	31,74988
193,3000	31,74988
193,4000	31,74988
193,5000	31,79983
193,6000	31,74988
193,7000	31,74988
193,8000	31,74988
193,9000	31,74988
194,0000	31,74988
194,1000	31,74988
194,2000	31,65009
194,3000	31,74988
194,4000	31,65009
194,5000	31,74988
194,6000	31,65009
194,7000	31,74988
194,8000	31,74988
194,9000	31,74988
195,0000	31,65009
195,1000	31,74988
195,2000	31,65009
195,3000	31,74988
195,4000	31,65009
195,5000	31,69996
195,6000	31,65009
195,7000	31,69996
195,8000	31,65009
195,9000	31,65009
196,0000	31,55048
196,1000	31,69996
196,2000	31,65009
196,3000	31,65009
196,4000	31,65009
196,5000	31,55048
196,6000	31,55048
196,7000	31,65009
196,8000	31,55048
196,9000	31,65009
197,0000	31,55048
197,1000	31,55048
197,2000	31,55048
197,3000	31,55048
197,4000	31,55048
197,5000	31,55048
197,6000	31,55048
197,7000	31,55048
197,8000	31,55048
197,9000	31,55048
198,0000	31,55048
198,1000	31,55048
198,2000	31,55048
198,3000	31,55048
198,4000	31,55048
198,5000	31,55048
198,6000	31,50073
198,7000	31,55048
198,8000	31,55048
198,9000	31,55048
199,0000	31,45103
199,1000	31,55048
199,2000	31,45103
199,3000	31,50073
199,4000	31,45103
199,5000	31,50073
199,6000	31,45103
199,7000	31,55048
199,8000	31,45103
199,9000	31,50073
200,0000	31,45103
200,1000	31,50073
200,2000	31,45103
200,3000	31,45103
200,4000	31,45103
200,5000	31,50073
200,6000	31,45103
200,7000	31,50073
200,8000	31,35175
200,9000	31,50073
201,0000	31,35175
201,1000	31,45103
201,2000	31,35175
201,3000	31,45103
201,4000	31,35175
201,5000	31,45103
201,6000	31,35175
201,7000	31,45103
201,8000	31,35175
201,9000	31,45103
202,0000	31,35175
202,1000	31,45103
202,2000	31,35175
202,3000	31,35175
202,4000	31,35175
202,5000	31,35175
202,6000	31,35175
202,7000	31,35175
202,8000	31,35175
202,9000	31,35175
203,0000	31,35175
203,1000	31,35175
203,2000	31,35175
203,3000	31,35175
203,4000	31,35175
203,5000	31,35175
203,6000	31,25264
203,7000	31,30217
203,8000	31,30217
203,9000	31,30217
204,0000	31,25264
204,1000	31,35175
204,2000	31,35175
204,3000	31,35175
204,4000	31,25264
204,5000	31,35175
204,6000	31,25264
204,7000	31,35175
204,8000	31,25264
204,9000	31,30217
205,0000	31,25264
205,1000	31,35175
205,2000	31,25264
205,3000	31,30217
205,4000	31,25264
205,5000	31,30217
205,6000	31,25264
205,7000	31,25264
205,8000	31,25264
205,9000	31,25264
206,0000	31,15369
206,1000	31,25264
206,2000	31,15369
206,3000	31,25264
206,4000	31,25264
206,5000	31,25264
206,6000	31,25264
206,7000	31,25264
206,8000	31,15369
206,9000	31,15369
207,0000	31,15369
207,1000	31,25264
207,2000	31,15369
207,3000	31,20314
207,4000	31,15369
207,5000	31,20314
207,6000	31,15369
207,7000	31,20314
207,8000	31,15369
207,9000	31,20314
208,0000	31,15369
208,1000	31,15369
208,2000	31,15369
208,3000	31,15369
208,4000	31,10427
208,5000	31,15369
208,6000	31,15369
208,7000	31,15369
208,8000	31,15369
208,9000	31,15369
209,0000	31,05490
209,1000	31,15369
209,2000	31,05490
209,3000	31,15369
209,4000	31,05490
209,5000	31,15369
209,6000	31,05490
209,7000	31,15369
209,8000	31,05490
209,9000	31,10427
210,0000	31,05490
210,1000	31,10427
210,2000	31,05490
210,3000	31,10427
210,4000	31,05490
210,5000	31,10427
210,6000	30,95628
210,7000	31,10427
210,8000	30,95628
210,9000	31,10427
211,0000	30,95628
211,1000	31,05490
211,2000	31,05490
211,3000	31,05490
211,4000	30,95628
211,5000	31,05490
211,6000	30,95628
211,7000	31,05490
211,8000	30,95628
211,9000	31,05490
212,0000	30,95628
212,1000	31,05490
212,2000	30,95628
212,3000	31,05490
212,4000	30,95628
212,5000	31,00557
212,6000	30,95628
212,7000	31,05490
212,8000	30,95628
212,9000	31,00557
213,0000	30,95628
213,1000	31,05490
213,2000	30,95628
213,3000	30,95628
213,4000	30,95628
213,5000	31,00557
213,6000	30,95628
213,7000	30,95628
213,8000	30,95628
213,9000	30,95628
214,0000	30,95628
214,1000	30,95628
214,2000	30,95628
214,3000	30,95628
214,4000	30,95628
214,5000	30,95628
214,6000	30,90703
214,7000	30,90703
214,8000	30,95628
214,9000	30,95628
215,0000	30,95628
215,1000	30,95628
215,2000	30,95628
215,3000	30,95628
215,4000	30,95628
215,5000	30,95628
215,6000	30,95628
215,7000	30,90703
215,8000	30,85782
215,9000	30,95628
216,0000	30,85782
216,1000	30,90703
216,2000	30,90703
216,3000	30,95628
216,4000	30,85782
216,5000	30,90703
216,6000	30,85782
216,7000	30,95628
216,8000	30,85782
216,9000	30,95628
217,0000	30,85782
217,1000	30,90703
217,2000	30,85782
217,3000	30,90703
217,4000	30,85782
217,5000	30,85782
217,6000	30,85782
217,7000	30,85782
217,8000	30,85782
217,9000	30,75951
218,0000	30,85782
218,1000	30,85782
218,2000	30,85782
218,3000	30,85782
218,4000	30,85782
218,5000	30,85782
218,6000	30,75951
218,7000	30,85782
218,8000	30,75951
218,9000	30,80864
219,0000	30,75951
219,1000	30,85782
219,2000	30,75951
219,3000	30,85782
219,4000	30,75951
219,5000	30,75951
219,6000	30,75951
219,7000	30,75951
219,8000	30,75951
219,9000	30,75951
220,0000	30,75951
220,1000	30,75951
220,2000	30,75951
220,3000	30,75951
220,4000	30,75951
220,5000	30,75951
220,6000	30,75951
220,7000	30,75951
220,8000	30,75951
220,9000	30,75951
221,0000	30,75951
221,1000	30,75951
221,2000	30,75951
221,3000	30,75951
221,4000	30,66137
221,5000	30,75951
221,6000	30,75951
221,7000	30,75951
221,8000	30,71042
221,9000	30,71042
222,0000	30,66137
222,1000	30,71042
222,2000	30,66137
222,3000	30,71042
222,4000	30,66137
222,5000	30,71042
222,6000	30,66137
222,7000	30,71042
222,8000	30,56338
222,9000	30,66137
223,0000	30,56338
223,1000	30,66137
223,2000	30,66137
223,3000	30,66137
223,4000	30,56338
223,5000	30,61236
223,6000	30,56338
223,7000	30,66137
223,8000	30,56338
223,9000	30,66137
224,0000	30,56338
224,1000	30,56338
224,2000	30,56338
224,3000	30,56338
224,4000	30,56338
224,5000	30,66137
224,6000	30,56338
224,7000	30,56338
224,8000	30,56338
224,9000	30,56338
225,0000	30,56338
225,1000	30,56338
225,2000	30,56338
225,3000	30,51445
225,4000	30,56338
225,5000	30,56338
225,6000	30,56338
225,7000	30,51445
225,8000	30,46555
225,9000	30,51445
226,0000	30,46555
226,1000	30,56338
226,2000	30,46555
226,3000	30,51445
226,4000	30,46555
226,5000	30,56338
226,6000	30,51445
226,7000	30,51445
226,8000	30,46555
226,9000	30,46555
227,0000	30,46555
227,1000	30,51445
227,2000	30,46555
227,3000	30,46555
227,4000	30,46555
227,5000	30,46555
227,6000	30,46555
227,7000	30,46555
227,8000	30,46555
227,9000	30,51445
228,0000	30,41669
228,1000	30,46555
228,2000	30,46555
228,3000	30,46555
228,4000	30,36787
228,5000	30,46555
228,6000	30,46555
228,7000	30,46555
228,8000	30,36787
228,9000	30,46555
229,0000	30,36787
229,1000	30,41669
229,2000	30,36787
229,3000	30,41669
229,4000	30,36787
229,5000	30,36787
229,6000	30,36787
229,7000	30,36787
229,8000	30,36787
229,9000	30,36787
230,0000	30,36787
230,1000	30,36787
230,2000	30,36787
230,3000	30,36787
230,4000	30,36787
230,5000	30,36787
230,6000	30,31909
230,7000	30,36787
230,8000	30,31909
230,9000	30,31909
231,0000	30,31909
231,1000	30,36787
231,2000	30,27035
231,3000	30,31909
231,4000	30,27035
231,5000	30,36787
231,6000	30,27035
231,7000	30,31909
231,8000	30,17298
231,9000	30,31909
232,0000	30,27035
232,1000	30,31909
232,2000	30,27035
232,3000	30,27035
232,4000	30,27035
232,5000	30,27035
232,6000	30,27035
232,7000	30,27035
232,8000	30,27035
232,9000	30,31909
233,0000	30,27035
233,1000	30,27035
233,2000	30,17298
233,3000	30,27035
233,4000	30,17298
233,5000	30,27035
233,6000	30,17298
233,7000	30,22164
233,8000	30,17298
233,9000	30,22164
234,0000	30,17298
234,1000	30,17298
234,2000	30,17298
234,3000	30,17298
234,4000	30,17298
234,5000	30,22164
234,6000	30,17298
234,7000	30,17298
234,8000	30,17298
234,9000	30,17298
235,0000	30,17298
235,1000	30,17298
235,2000	30,17298
235,3000	30,17298
235,4000	30,17298
235,5000	30,17298
235,6000	30,17298
235,7000	30,17298
235,8000	30,12435
235,9000	30,17298
236,0000	30,17298
236,1000	30,17298
236,2000	30,12435
236,3000	30,17298
236,4000	30,17298
236,5000	30,17298
236,6000	30,07576
236,7000	30,17298
236,8000	30,07576
236,9000	30,17298
237,0000	30,12435
237,1000	30,17298
237,2000	30,12435
237,3000	30,12435
237,4000	30,17298
237,5000	30,17298
237,6000	30,07576
237,7000	30,12435
237,8000	30,07576
237,9000	30,12435
238,0000	30,07576
238,1000	30,12435
238,2000	30,07576
238,3000	30,12435
238,4000	30,07576
238,5000	30,17298
238,6000	30,07576
238,7000	30,12435
238,8000	29,97869
238,9000	30,12435
239,0000	30,07576
239,1000	30,07576
239,2000	29,97869
239,3000	30,07576
239,4000	29,97869
239,5000	30,12435
239,6000	30,07576
239,7000	30,02720
239,8000	29,97869
239,9000	29,97869
240,0000	30,07576
240,1000	30,02720
240,2000	29,97869
240,3000	30,07576
240,4000	29,97869
240,5000	29,97869
240,6000	29,97869
240,7000	29,97869
240,8000	29,97869
240,9000	29,97869
241,0000	29,97869
241,1000	30,07576
241,2000	29,97869
241,3000	30,02720
241,4000	29,97869
241,5000	29,97869
241,6000	29,97869
241,7000	30,07576
241,8000	29,97869
241,9000	29,97869
242,0000	29,97869
242,1000	29,97869
242,2000	29,97869
242,3000	29,97869
242,4000	29,97869
242,5000	29,97869
242,6000	29,97869
242,7000	29,97869
242,8000	29,97869
242,9000	29,97869
243,0000	29,93021
243,1000	29,97869
243,2000	29,97869
243,3000	29,93021
243,4000	29,97869
243,5000	29,97869
243,6000	29,97869
243,7000	29,97869
243,8000	29,88177
243,9000	29,97869
244,0000	29,93021
244,1000	29,93021
244,2000	29,88177
244,3000	29,93021
244,4000	29,88177
244,5000	29,93021
244,6000	29,88177
244,7000	29,93021
244,8000	29,88177
244,9000	29,93021
245,0000	29,88177
245,1000	29,93021
245,2000	29,78499
245,3000	29,93021
245,4000	29,88177
245,5000	29,93021
245,6000	29,78499
245,7000	29,88177
245,8000	29,78499
245,9000	29,93021
246,0000	29,78499
246,1000	29,93021
246,2000	29,78499
246,3000	29,88177
246,4000	29,78499
246,5000	29,88177
246,6000	29,78499
246,7000	29,88177
246,8000	29,78499
246,9000	29,88177
247,0000	29,78499
247,1000	29,78499
247,2000	29,78499
247,3000	29,78499
247,4000	29,78499
247,5000	29,78499
247,6000	29,73666
247,7000	29,78499
247,8000	29,78499
247,9000	29,78499
248,0000	29,78499
248,1000	29,78499
248,2000	29,78499
248,3000	29,78499
248,4000	29,73666
248,5000	29,78499
248,6000	29,78499
248,7000	29,78499
248,8000	29,73666
248,9000	29,78499
249,0000	29,68836
249,1000	29,78499
249,2000	29,73666
249,3000	29,78499
249,4000	29,73666
249,5000	29,78499
249,6000	29,68836
249,7000	29,73666
249,8000	29,68836
249,9000	29,78499
250,0000	29,68836
250,1000	29,78499
250,2000	29,68836
250,3000	29,78499
250,4000	29,68836
250,5000	29,73666
250,6000	29,68836
250,7000	29,73666
250,8000	29,68836
250,9000	29,73666
251,0000	29,68836
251,1000	29,68836
251,2000	29,68836
251,3000	29,73666
251,4000	29,68836
251,5000	29,73666
251,6000	29,68836
251,7000	29,68836
251,8000	29,68836
251,9000	29,73666
252,0000	29,68836
252,1000	29,73666
252,2000	29,68836
252,3000	29,68836
252,4000	29,59188
252,5000	29,68836
252,6000	29,59188
252,7000	29,68836
252,8000	29,59188
252,9000	29,68836
253,0000	29,68836
253,1000	29,64011
253,2000	29,59188
253,3000	29,68836
253,4000	29,59188
253,5000	29,68836
253,6000	29,68836
253,7000	29,64011
253,8000	29,68836
253,9000	29,68836
254,0000	29,59188
254,1000	29,68836
254,2000	29,59188
254,3000	29,68836
254,4000	29,59188
254,5000	29,68836
254,6000	29,59188
254,7000	29,59188
254,8000	29,59188
254,9000	29,59188
255,0000	29,59188
255,1000	29,59188
255,2000	29,59188
255,3000	29,59188
255,4000	29,59188
255,5000	29,59188
255,6000	29,59188
255,7000	29,59188
255,8000	29,59188
255,9000	29,59188
256,0000	29,49554
256,1000	29,59188
256,2000	29,59188
256,3000	29,59188
256,4000	29,59188
256,5000	29,59188
256,6000	29,59188
256,7000	29,59188
256,8000	29,59188
256,9000	29,59188
257,0000	29,59188
257,1000	29,59188
257,2000	29,59188
257,3000	29,59188
257,4000	29,59188
257,5000	29,54369
257,6000	29,49554
257,7000	29,54369
257,8000	29,49554
257,9000	29,59188
258,0000	29,54369
258,1000	29,59188
258,2000	29,49554
258,3000	29,59188
258,4000	29,54369
258,5000	29,59188
258,6000	29,49554
258,7000	29,54369
258,8000	29,49554
258,9000	29,54369
259,0000	29,49554
259,1000	29,59188
259,2000	29,49554
259,3000	29,54369
259,4000	29,49554
259,5000	29,54369
259,6000	29,49554
259,7000	29,54369
259,8000	29,49554
259,9000	29,54369
260,0000	29,49554
260,1000	29,54369
260,2000	29,49554
260,3000	29,49554
260,4000	29,39935
260,5000	29,49554
260,6000	29,49554
260,7000	29,54369
260,8000	29,39935
260,9000	29,49554
261,0000	29,39935
261,1000	29,49554
261,2000	29,49554
261,3000	29,49554
261,4000	29,49554
261,5000	29,44743
261,6000	29,39935
261,7000	29,44743
261,8000	29,39935
261,9000	29,49554
262,0000	29,39935
262,1000	29,44743
262,2000	29,39935
262,3000	29,44743
262,4000	29,39935
262,5000	29,39935
262,6000	29,39935
262,7000	29,44743
262,8000	29,39935
262,9000	29,39935
263,0000	29,39935
263,1000	29,39935
263,2000	29,39935
263,3000	29,44743
263,4000	29,39935
263,5000	29,39935
263,6000	29,39935
263,7000	29,44743
263,8000	29,39935
263,9000	29,39935
264,0000	29,39935
264,1000	29,39935
264,2000	29,39935
264,3000	29,39935
264,4000	29,39935
264,5000	29,39935
264,6000	29,39935
264,7000	29,39935
264,8000	29,39935
264,9000	29,39935
265,0000	29,39935
265,1000	29,39935
265,2000	29,39935
265,3000	29,39935
265,4000	29,30329
265,5000	29,39935
265,6000	29,35130
265,7000	29,35130
265,8000	29,39935
265,9000	29,39935
266,0000	29,30329
266,1000	29,39935
266,2000	29,35130
266,3000	29,39935
266,4000	29,30329
266,5000	29,39935
266,6000	29,30329
266,7000	29,35130
266,8000	29,30329
266,9000	29,35130
267,0000	29,30329
267,1000	29,35130
267,2000	29,30329
267,3000	29,35130
267,4000	29,30329
267,5000	29,35130
267,6000	29,30329
267,7000	29,35130
267,8000	29,30329
267,9000	29,35130
268,0000	29,30329
268,1000	29,35130
268,2000	29,30329
268,3000	29,30329
268,4000	29,25532
268,5000	29,30329
268,6000	29,30329
268,7000	29,30329
268,8000	29,30329
268,9000	29,30329
269,0000	29,20738
269,1000	29,30329
269,2000	29,30329
269,3000	29,30329
269,4000	29,20738
269,5000	29,30329
269,6000	29,30329
269,7000	29,20738
269,8000	29,30329
269,9000	29,30329
270,0000	29,25532
270,1000	29,30329
270,2000	29,20738
270,3000	29,30329
270,4000	29,20738
270,5000	29,30329
270,6000	29,20738
270,7000	29,20738
270,8000	29,20738
270,9000	29,20738
271,0000	29,20738
271,1000	29,20738
271,2000	29,20738
271,3000	29,20738
271,4000	29,20738
271,5000	29,20738
271,6000	29,20738
271,7000	29,20738
271,8000	29,20738
271,9000	29,20738
272,0000	29,20738
272,1000	29,20738
272,2000	29,20738
272,3000	29,20738
272,4000	29,20738
272,5000	29,20738
272,6000	29,20738
272,7000	29,20738
272,8000	29,20738
272,9000	29,20738
273,0000	29,15948
273,1000	29,20738
273,2000	29,15948
273,3000	29,20738
273,4000	29,20738
273,5000	29,15948
273,6000	29,20738
273,7000	29,20738
273,8000	29,20738
273,9000	29,20738
274,0000	29,20738
274,1000	29,20738
274,2000	29,20738
274,3000	29,20738
274,4000	29,20738
274,5000	29,20738
274,6000	29,20738
274,7000	29,20738
274,8000	29,20738
274,9000	29,20738
275,0000	29,20738
275,1000	29,15948
275,2000	29,20738
275,3000	29,20738
275,4000	29,20738
275,5000	29,15948
275,6000	29,11161
275,7000	29,20738
275,8000	29,11161
275,9000	29,15948
276,0000	29,11161
276,1000	29,15948
276,2000	29,11161
276,3000	29,15948
276,4000	29,11161
276,5000	29,20738
276,6000	29,15948
276,7000	29,15948
276,8000	29,11161
276,9000	29,15948
277,0000	29,11161
277,1000	29,20738
277,2000	29,11161
277,3000	29,15948
277,4000	29,11161
277,5000	29,15948
